MonthName,Year,value_final
January,2009,0.003
February,2009,0.03
March,2009,0.015
April,2009,0.027000000000000003
May,2009,0.21
June,2009,0.033
July,2009,0.046
August,2009,0.055
September,2009,0.042
October,2009,0.027000000000000003
November,2009,0.024
December,2009,0.012
January,2010,0.01824
February,2010,0.05168
March,2010,0.11248
April,2010,0.12464
May,2010,0.152
June,2010,0.06384
July,2010,0.21888
August,2010,0.20672000000000001
September,2010,0.1824
October,2010,0.05168
November,2010,0.06384
December,2010,0.0608
January,2011,0.03900000000000001
February,2011,0.034
March,2011,0.044000000000000004
April,2011,0.074
May,2011,0.08099999999999999
June,2011,0.07
July,2011,0.031
August,2011,0.07
September,2011,0.018000000000000002
October,2011,0.027
November,2011,0.091
December,2011,0.033
January,2012,0.032
February,2012,0.027
March,2012,0.031
April,2012,0.027
May,2012,0.052000000000000005
June,2012,0.1
July,2012,0.08600000000000001
August,2012,0.031
September,2012,0.034
October,2012,0.088
November,2012,0.062
December,2012,0.06
January,2013,0.018000000000000002
February,2013,0.013000000000000001
March,2013,0.02
April,2013,0.013999999999999999
May,2013,0.019
June,2013,0.051
July,2013,0.003
August,2013,0.008
September,2013,0.025
October,2013,0.03
November,2013,0.054000000000000006
December,2013,0.051
January,2014,0.032
February,2014,0.016
March,2014,0.019
April,2014,0.031
May,2014,0.015
June,2014,0.021
July,2014,0.043
August,2014,0.023
September,2014,0.027000000000000003
October,2014,0.039
November,2014,0.07
December,2014,0.021
January,2015,0.040999999999999995
February,2015,0.005
March,2015,0.012
April,2015,0.022000000000000002
May,2015,0.10800000000000001
June,2015,0.064
July,2015,0.013000000000000001
August,2015,0.146
September,2015,0.038
October,2015,0.037000000000000005
November,2015,0.028999999999999998
December,2015,0.031
January,2016,0.018000000000000002
February,2016,0.01
March,2016,0.012
April,2016,0.027999999999999997
May,2016,0.038
June,2016,0.027000000000000003
July,2016,0.021
August,2016,0.023
September,2016,0.042
October,2016,0.024
November,2016,0.042
December,2016,0.015
