MonthName,Year,value_final
October,1998,0.03
November,1998,0.03
December,1998,0.04
January,1999,0.03
February,1999,0.04
March,1999,0.02
April,1999,0.07
May,1999,0.04
June,1999,0.09
July,1999,0.02
August,1999,0.05
September,1999,0.01
October,1999,0.04
November,1999,0.02
December,1999,0.04
January,2000,0.08
February,2000,0.01
March,2000,0.01
April,2000,0.04
May,2000,0.02
June,2000,0.01
July,2000,0.01
August,2000,0.08
September,2000,0.04
October,2000,0.04
November,2000,0.02
December,2000,0.02
January,2001,0.03
February,2001,0.03
March,2001,0.02
April,2001,0.03
May,2001,0.05
June,2001,0.02
July,2001,0.02
August,2001,0.04
September,2001,0.01
November,2001,0.005
January,2002,0.29000000000000004
February,2002,0.02
March,2002,0.12
April,2002,0.05
May,2002,0.006
June,2002,0.02
July,2002,0.03
August,2002,0.02
September,2002,0.07
October,2002,0.12000000000000001
December,2002,0.03
January,2003,0.005
February,2003,0.023
March,2003,0.042
April,2003,0.07
May,2003,0.12
June,2003,0.061
July,2003,0.055999999999999994
August,2003,0.033
September,2003,0.008
October,2003,0.062
November,2003,0.053
December,2003,0.023
January,2004,0.027999999999999997
February,2004,0.027999999999999997
March,2004,0.040999999999999995
April,2004,0.049
May,2004,0.049
June,2004,0.038
July,2004,0.049
August,2004,0.18600000000000003
September,2004,0.036000000000000004
October,2004,0.05
December,2004,0.044000000000000004
January,2005,0.027999999999999997
February,2005,0.034
March,2005,0.094
April,2005,0.07400000000000001
May,2005,0.045
June,2005,0.043
July,2005,0.064
August,2005,0.193
September,2005,0.033
October,2005,0.048
November,2005,0.077
December,2005,0.013999999999999999
January,2006,0.09300000000000001
February,2006,0.028999999999999998
March,2006,0.052000000000000005
April,2006,0.031
May,2006,0.084
June,2006,0.039
July,2006,0.013999999999999999
August,2006,0.005
September,2006,0.047
October,2006,0.099
November,2006,0.055
December,2006,0.078
January,2007,0.0474
February,2007,0.024
March,2007,0.066
April,2007,0.086
May,2007,0.024
June,2007,0.021
July,2007,0.025
August,2007,0.046
September,2007,0.022000000000000002
October,2007,0.013999999999999999
November,2007,0.005
December,2007,0.205
February,2008,0.0185
March,2008,0.023
May,2008,0.0537
June,2008,0.115
July,2008,0.083
August,2008,0.016
September,2008,0.053
October,2008,0.053
November,2008,0.073
December,2008,0.019700000000000002
January,2009,0.026000000000000002
February,2009,0.026000000000000002
March,2009,0.059000000000000004
April,2009,0.024
May,2009,0.0591
June,2009,0.057
July,2009,0.022000000000000002
August,2009,0.217
September,2009,0.022000000000000002
October,2009,0.016
November,2009,0.024
December,2009,0.019
January,2010,0.027000000000000003
February,2010,0.028999999999999998
March,2010,0.02
April,2010,0.057
May,2010,0.066
June,2010,0.048
July,2010,0.04
August,2010,0.046
September,2010,0.019
October,2010,0.017
November,2010,0.035
December,2010,0.032
January,2011,0.051
February,2011,0.055
March,2011,0.025
April,2011,0.016
May,2011,0.044000000000000004
June,2011,0.026000000000000002
August,2011,0.056
September,2011,0.028999999999999998
November,2011,0.05
December,2011,0.026000000000000002
February,2012,0.11149999999999999
March,2012,0.0449
April,2012,0.045899999999999996
May,2012,0.052899999999999996
July,2012,0.253
August,2012,0.0094
October,2012,0.0852
November,2012,0.0933
December,2012,0.0501
January,2013,0.018000000000000002
February,2013,0.082
March,2013,0.086
April,2013,0.07300000000000001
May,2013,0.033
June,2013,0.138
July,2013,0.06142
August,2013,0.024
September,2013,0.033
October,2013,0.013000000000000001
November,2013,0.054000000000000006
December,2013,0.049
January,2014,0.0149
March,2014,0.07110000000000001
April,2014,0.0402
May,2014,0.10919999999999999
June,2014,0.0428
July,2014,0.0149
August,2014,0.038000000000000006
September,2014,0.0729
October,2014,0.0338
November,2014,0.055099999999999996
December,2014,0.0458
January,2015,0.061
February,2015,0.023
March,2015,0.054
April,2015,0.065
May,2015,0.07100000000000001
June,2015,0.058
July,2015,0.013000000000000001
August,2015,0.056999999999999995
September,2015,0.068
October,2015,0.05600000000000001
November,2015,0.036000000000000004
December,2015,0.036000000000000004
January,2016,0.012
February,2016,0.055
March,2016,0.05
April,2016,0.034
May,2016,0.07600000000000001
June,2016,0.031
July,2016,0.064
August,2016,0.023
September,2016,0.027000000000000003
October,2016,0.031
November,2016,0.037000000000000005
December,2016,0.045000000000000005
