MonthName,Year,value_final
January,1998,0.08
February,1998,0.06
March,1998,0.03
April,1998,0.16999999999999998
May,1998,0.04
June,1998,0.16999999999999998
July,1998,0.04
August,1998,0.2
September,1998,0.14
October,1998,0.11000000000000001
November,1998,0.07
December,1998,0.11000000000000001
January,1999,0.08
February,1999,0.03
March,1999,0.03
April,1999,0.18
May,1999,0.09
June,1999,0.08
July,1999,0.19
August,1999,0.21000000000000002
September,1999,0.07
October,1999,0.1
November,1999,0.07
December,1999,0.07
January,2000,0.07
February,2000,0.08
March,2000,0.05
April,2000,0.1
May,2000,0.12
June,2000,0.03
July,2000,0.03
August,2000,0.16
September,2000,0.07
October,2000,0.16
November,2000,0.08
December,2000,0.14
January,2001,0.06
February,2001,0.1
March,2001,0.1
April,2001,0.07
May,2001,0.03
June,2001,0.07
July,2001,0.08
August,2001,0.06
September,2001,0.06
November,2001,0.015
February,2002,0.325
March,2002,0.31
April,2002,0.023000000000000003
May,2002,0.05000000000000001
June,2002,0.132
July,2002,0.26
August,2002,0.068
September,2002,0.049999999999999996
October,2002,0.476
November,2002,0.031
December,2002,0.22999999999999998
January,2003,0.10500000000000001
February,2003,0.164
March,2003,0.175
April,2003,0.26
May,2003,0.15400000000000003
June,2003,0.162
July,2003,0.16699999999999998
August,2003,0.184
September,2003,0.034
October,2003,0.16799999999999998
November,2003,0.115
December,2003,0.977
January,2004,0.273
February,2004,0.29800000000000004
March,2004,0.356
April,2004,0.24000000000000002
May,2004,0.164
June,2004,0.201
July,2004,0.36799999999999994
August,2004,0.6480000000000001
September,2004,0.16699999999999998
October,2004,0.1
November,2004,0.075
December,2004,0.136
January,2005,0.197
February,2005,0.255
March,2005,0.128
April,2005,0.417
May,2005,0.189
June,2005,0.519
July,2005,0.15800000000000003
August,2005,0.17700000000000002
September,2005,0.182
October,2005,0.336
November,2005,0.238
December,2005,0.371
January,2006,0.177
February,2006,0.303
March,2006,0.652
April,2006,0.523
May,2006,0.07600000000000001
June,2006,0.139
July,2006,0.28300000000000003
August,2006,0.185
September,2006,0.8330000000000001
October,2006,0.12000000000000002
November,2006,0.335
December,2006,0.3490000000000001
January,2007,0.1323
February,2007,0.17200000000000001
March,2007,0.131
April,2007,0.195
May,2007,0.131
June,2007,0.134
July,2007,0.25
August,2007,0.028999999999999998
September,2007,0.132
October,2007,0.26689999999999997
November,2007,0.1015
December,2007,0.0782
January,2008,0.025
February,2008,0.44460000000000005
March,2008,0.1819
April,2008,0.132
May,2008,0.22599999999999998
June,2008,0.267
July,2008,0.271
August,2008,0.1182
September,2008,0.129
October,2008,0.14
November,2008,0.221
December,2008,0.0343
January,2009,0.121
February,2009,0.101
March,2009,0.126
April,2009,0.23200000000000004
May,2009,0.09650000000000002
June,2009,0.179
July,2009,0.15800000000000003
August,2009,0.101
September,2009,0.07100000000000001
October,2009,0.3560000000000001
November,2009,0.28400000000000003
December,2009,0.183
January,2010,0.194
February,2010,0.20199999999999999
March,2010,0.14700000000000002
April,2010,0.16590000000000002
May,2010,0.19
June,2010,0.117
July,2010,0.143
August,2010,0.18500000000000003
September,2010,0.11800000000000001
October,2010,0.056999999999999995
November,2010,0.155
December,2010,0.15099999999999997
January,2011,0.089
February,2011,0.20099999999999998
March,2011,0.22599999999999998
April,2011,0.16199999999999998
May,2011,0.08900000000000001
June,2011,0.15800000000000003
July,2011,0.262
August,2011,0.17100000000000004
September,2011,0.134
October,2011,0.089
November,2011,0.132
December,2011,0.135
January,2012,0.1667
February,2012,0.1745
March,2012,0.11979999999999999
April,2012,0.097
May,2012,0.20229999999999998
June,2012,0.10239999999999999
July,2012,0.1058
August,2012,0.14529999999999998
September,2012,0.1345
October,2012,0.0613
November,2012,0.1625
December,2012,0.1671
January,2013,0.177
February,2013,0.23199999999999998
March,2013,0.082
April,2013,0.10099999999999999
May,2013,0.077
June,2013,0.244
July,2013,0.095
August,2013,0.10200000000000001
September,2013,0.08800000000000001
October,2013,0.098
November,2013,0.186
December,2013,0.124
January,2014,0.15118
March,2014,0.23999999999999996
April,2014,0.0969
May,2014,0.11368
June,2014,0.0852
July,2014,0.0499
August,2014,0.09751999999999998
September,2014,0.06080000000000001
October,2014,0.04318
November,2014,0.13778
December,2014,0.06814
January,2015,0.096
February,2015,0.101
March,2015,0.124
April,2015,0.157
May,2015,0.137
June,2015,0.0511
July,2015,0.068
August,2015,0.1183
September,2015,0.0898
October,2015,0.051000000000000004
November,2015,0.0959
December,2015,0.05850000000000001
January,2016,0.201
February,2016,0.079
March,2016,0.099
April,2016,0.0912
May,2016,0.1591
June,2016,0.16
July,2016,0.15600000000000003
August,2016,0.10200000000000001
September,2016,0.11149999999999999
October,2016,0.0764
November,2016,0.10800000000000001
December,2016,0.11100000000000002
