MonthName,Year,value_final
January,2009,0.015
February,2009,0.013000000000000001
March,2009,0.023
April,2009,0.015
May,2009,0.02
June,2009,0.005
July,2009,0.013000000000000001
August,2009,0.016
September,2009,0.018000000000000002
October,2009,0.039
November,2009,0.025
December,2009,0.026000000000000002
January,2010,0.022000000000000002
February,2010,0.023
March,2010,0.013000000000000001
April,2010,0.012
May,2010,0.015
June,2010,0.017
July,2010,0.01
August,2010,0.003
September,2010,0.018000000000000002
October,2010,0.004
November,2010,0.02
December,2010,0.016
January,2011,0.016
February,2011,0.017
March,2011,0.021
April,2011,0.08
May,2011,0.05
June,2011,0.046
July,2011,0.023
August,2011,0.034
September,2011,0.078
October,2011,0.037000000000000005
November,2011,0.03
December,2011,0.032
January,2012,0.024
February,2012,0.025
March,2012,0.024
April,2012,0.018000000000000002
May,2012,0.027999999999999997
June,2012,0.023
July,2012,0.025
August,2012,0.011000000000000001
September,2012,0.012
October,2012,0.016
November,2012,0.011000000000000001
December,2012,0.013000000000000001
January,2013,0.030000000000000002
February,2013,0.033
March,2013,0.03900000000000001
April,2013,0.081
May,2013,0.011000000000000001
June,2013,0.036000000000000004
July,2013,0.038
August,2013,0.047
September,2013,0.023
October,2013,0.028999999999999998
November,2013,0.052000000000000005
December,2013,0.041
January,2014,0.036000000000000004
February,2014,0.02
March,2014,0.05
April,2014,0.05
May,2014,0.045
June,2014,0.039
July,2014,0.049
August,2014,0.045
September,2014,0.073
October,2014,0.07
November,2014,0.07300000000000001
December,2014,0.1
January,2015,0.037000000000000005
February,2015,0.038000000000000006
March,2015,0.10500000000000001
April,2015,0.05
May,2015,0.032
June,2015,0.03900000000000001
July,2015,0.045
August,2015,0.037000000000000005
September,2015,0.054000000000000006
October,2015,0.047
November,2015,0.024
December,2015,0.028
January,2016,0.038
February,2016,0.077
March,2016,0.035
April,2016,0.043
May,2016,0.013000000000000001
June,2016,0.013
July,2016,0.059000000000000004
August,2016,0.026000000000000002
September,2016,0.021
October,2016,0.043
November,2016,0.052000000000000005
December,2016,0.042
