MonthName,Year,value_final
January,1998,0.09
February,1998,0.14
March,1998,0.09
April,1998,0.18
May,1998,0.21000000000000002
June,1998,0.2
July,1998,0.09
August,1998,0.19
September,1998,0.16999999999999998
October,1998,0.11000000000000001
November,1998,0.09
December,1998,0.07
January,1999,0.03
February,1999,0.15000000000000002
March,1999,0.06
April,1999,0.18
May,1999,0.09
June,1999,0.16999999999999998
July,1999,0.18
August,1999,0.21000000000000002
September,1999,0.09
October,1999,0.09
November,1999,0.1
December,1999,0.04
January,2000,0.08
February,2000,0.07
March,2000,0.04
April,2000,0.08
May,2000,0.13
June,2000,0.03
July,2000,0.03
August,2000,0.19
September,2000,0.06
October,2000,0.11000000000000001
November,2000,0.06
December,2000,0.06
January,2001,0.1
February,2001,0.1
March,2001,0.12000000000000001
April,2001,0.13
May,2001,0.03
June,2001,0.07
July,2001,0.08
August,2001,0.08
September,2001,0.1
November,2001,0.030000000000000002
December,2001,0.14
January,2002,0.018000000000000002
February,2002,0.02
March,2002,0.016
April,2002,0.057
May,2002,0.021
June,2002,0.026000000000000002
July,2002,0.02
August,2002,0.016
September,2002,0.016
October,2002,0.22000000000000003
November,2002,0.017
December,2002,0.039
January,2003,0.019000000000000003
February,2003,0.025
March,2003,0.089
April,2003,0.332
May,2003,0.07200000000000001
June,2003,0.25
July,2003,0.28400000000000003
August,2003,0.253
September,2003,0.10200000000000001
October,2003,0.069
November,2003,0.055
December,2003,0.049
February,2004,0.195
March,2004,0.165
April,2004,0.159
May,2004,0.044
June,2004,0.191
July,2004,0.221
August,2004,0.07
September,2004,0.093
October,2004,0.09
December,2004,0.155
January,2005,0.066
February,2005,0.049
March,2005,0.131
April,2005,0.075
May,2005,0.177
June,2005,0.159
July,2005,0.123
August,2005,0.062
September,2005,0.08800000000000001
October,2005,0.05800000000000001
November,2005,0.404
December,2005,0.20600000000000002
January,2006,0.133
February,2006,0.07700000000000001
March,2006,0.195
April,2006,1.818
May,2006,0.43200000000000005
June,2006,0.022
July,2006,0.309
August,2006,0.048
September,2006,0.067
October,2006,0.022000000000000002
November,2006,0.07
December,2006,0.051000000000000004
January,2007,0.0556
February,2007,0.081
March,2007,0.038000000000000006
April,2007,0.075
May,2007,0.09
June,2007,0.0391
July,2007,0.122
August,2007,0.08429999999999999
September,2007,0.019
October,2007,0.089
November,2007,0.015
December,2007,0.047
January,2008,0.10900000000000001
March,2008,0.123
April,2008,0.154
May,2008,0.084
June,2008,0.10899999999999999
July,2008,0.177
August,2008,0.127
September,2008,0.07100000000000001
October,2008,0.038900000000000004
November,2008,0.052000000000000005
December,2008,0.0537
January,2009,0.1044
February,2009,0.069
March,2009,0.067
April,2009,0.062
May,2009,0.035
June,2009,0.092
July,2009,0.045000000000000005
August,2009,0.257
September,2009,0.23199999999999998
October,2009,0.17200000000000001
November,2009,0.12100000000000001
December,2009,0.084
January,2010,0.21100000000000002
February,2010,0.15300000000000002
March,2010,0.11299999999999999
April,2010,0.10700000000000001
May,2010,0.08299999999999999
June,2010,0.08299999999999999
July,2010,0.077
August,2010,0.093
September,2010,0.034
October,2010,0.097
November,2010,0.066
December,2010,0.095
January,2011,0.07600000000000001
February,2011,0.29100000000000004
March,2011,0.104
April,2011,0.07600000000000001
May,2011,0.16400000000000003
June,2011,0.203
July,2011,0.156
August,2011,0.158
September,2011,0.07700000000000001
October,2011,0.12000000000000002
November,2011,0.133
December,2011,0.1168
January,2012,0.0696
February,2012,0.09870000000000001
March,2012,0.09179999999999999
April,2012,0.1167
May,2012,0.0511
June,2012,0.0888
July,2012,0.1042
September,2012,0.1581
October,2012,0.07289999999999999
November,2012,0.1262
December,2012,0.1699
January,2013,0.12400000000000001
February,2013,0.158
March,2013,0.069
April,2013,0.065
May,2013,0.124
June,2013,0.137
July,2013,0.041
August,2013,0.232
September,2013,0.127
October,2013,0.068
November,2013,0.048
December,2013,0.05500000000000001
January,2014,0.0687
March,2014,0.0648
April,2014,0.09939999999999999
May,2014,0.0346
June,2014,0.0371
July,2014,0.11704
August,2014,0.10790000000000001
September,2014,0.1263
October,2014,0.053419999999999995
November,2014,0.0468
December,2014,0.056459999999999996
January,2015,0.05
February,2015,0.068
March,2015,0.063
April,2015,0.057999999999999996
May,2015,0.14
June,2015,0.031
July,2015,0.05500000000000001
August,2015,0.049
September,2015,0.10200000000000001
October,2015,0.08
November,2015,0.040999999999999995
December,2015,0.052000000000000005
January,2016,0.067
February,2016,0.064
March,2016,0.059
April,2016,0.052000000000000005
May,2016,0.066
June,2016,0.07400000000000001
July,2016,0.037000000000000005
August,2016,0.029000000000000005
September,2016,0.059
October,2016,0.057999999999999996
November,2016,0.063
December,2016,0.07300000000000001
