MonthName,Year,value_final
April,1998,0.02
June,1998,0.02
August,1998,0.03
October,1998,0.03
November,1998,0.02
December,1998,0.05
January,1999,0.04
February,1999,0.06
March,1999,0.06
April,1999,0.07
May,1999,0.04
June,1999,0.06
July,1999,0.05
August,1999,0.05
September,1999,0.08
October,1999,0.01
November,1999,0.03
December,1999,0.04
January,2000,0.09
February,2000,0.06
March,2000,0.09
April,2000,0.06
May,2000,0.08
June,2000,0.02
July,2000,0.04
August,2000,0.1
September,2000,0.08
October,2000,0.04
November,2000,0.05
December,2000,0.02
January,2001,0.04
February,2001,0.03
March,2001,0.02
April,2001,0.11
May,2001,0.04
June,2001,0.02
July,2001,0.04
August,2001,0.06
September,2001,0.1
October,2001,0.09
December,2001,0.11
March,2002,0.07
April,2002,0.09
May,2002,0.06
June,2002,0.09
July,2002,0.11
August,2002,0.08
September,2002,0.06
October,2002,0.16
November,2002,0.07
December,2002,0.05
January,2003,0.05
February,2003,0.04
March,2003,0.08
April,2003,0.06
May,2003,0.08
June,2003,0.06
July,2003,0.05
August,2003,0.07
September,2003,0.04
October,2003,0.06
December,2003,0.07
January,2004,0.09
February,2004,0.07
March,2004,0.09
April,2004,0.09
May,2004,0.09
June,2004,0.08
July,2004,0.09
August,2004,0.07
September,2004,0.08
October,2004,0.09
November,2004,0.11
December,2004,0.08
January,2005,0.06
February,2005,0.09
March,2005,0.11
April,2005,0.08
May,2005,0.16
June,2005,0.1
July,2005,0.11
August,2005,0.13
September,2005,0.1
October,2005,0.14
November,2005,0.16
December,2005,0.11
January,2006,0.09
February,2006,0.07
March,2006,0.08
April,2006,0.03
May,2006,0.039
June,2006,0.027000000000000003
August,2006,0.04
September,2006,0.033
October,2006,0.03
November,2006,0.048
December,2006,0.039
January,2007,0.045
February,2007,0.036000000000000004
March,2007,0.027000000000000003
April,2007,0.042
May,2007,0.036000000000000004
June,2007,0.046
July,2007,0.033
August,2007,0.039
September,2007,0.045
October,2007,0.036000000000000004
November,2007,0.048
December,2007,0.039
January,2008,0.045
February,2008,0.125
March,2008,0.069
May,2008,0.113
June,2008,0.091
July,2008,0.1018
August,2008,0.027000000000000003
September,2008,0.027000000000000003
October,2008,0.035
November,2008,0.048
December,2008,0.055
January,2009,0.111
February,2009,0.035
March,2009,0.039
April,2009,0.141
May,2009,0.005
June,2009,0.025
July,2009,0.040999999999999995
August,2009,0.02
September,2009,0.023
October,2009,0.017
November,2009,0.048
December,2009,0.054000000000000006
January,2010,0.0526
February,2010,0.067
March,2010,0.026000000000000002
April,2010,0.0202
May,2010,0.027999999999999997
June,2010,0.023
July,2010,0.133
August,2010,0.0368
September,2010,0.057
October,2010,0.040999999999999995
November,2010,0.038
December,2010,0.11900000000000001
January,2011,0.077
February,2011,0.05
March,2011,0.066
April,2011,0.047
May,2011,0.066
June,2011,0.059000000000000004
July,2011,0.105
August,2011,0.092
September,2011,0.076
October,2011,0.07200000000000001
November,2011,0.052000000000000005
December,2011,0.0667
January,2012,0.065
February,2012,0.085
March,2012,0.07
April,2012,0.059000000000000004
May,2012,0.054000000000000006
June,2012,0.042
July,2012,0.051
August,2012,0.042
October,2012,0.045
November,2012,0.053
December,2012,0.042
January,2013,0.052000000000000005
February,2013,0.064
March,2013,0.085
April,2013,0.0723
May,2013,0.156
June,2013,0.1091
July,2013,0.099
August,2013,0.057
September,2013,0.052000000000000005
October,2013,0.071
November,2013,0.087
December,2013,0.055999999999999994
January,2014,0.095
February,2014,0.031
March,2014,0.092
April,2014,0.064
May,2014,0.08199999999999999
June,2014,0.022000000000000002
July,2014,0.10400000000000001
August,2014,0.085
September,2014,0.068
October,2014,0.085
November,2014,0.201
December,2014,0.131
January,2015,0.0861
February,2015,0.1258
March,2015,0.095
April,2015,0.0921
May,2015,0.0614
June,2015,0.1498
July,2015,0.1265
August,2015,0.1115
September,2015,0.1539
October,2015,0.095
November,2015,0.0836
December,2015,0.0353
January,2016,0.0701
February,2016,0.0481
March,2016,0.0651
April,2016,0.0748
May,2016,0.09699999999999999
June,2016,0.0574
July,2016,0.0893
August,2016,0.0549
September,2016,0.0571
October,2016,0.0944
November,2016,0.0894
December,2016,0.0186
