MonthName,Year,value_final
April,1998,0.05
June,1998,0.06
August,1998,0.07
October,1998,0.13
November,1998,0.09
December,1998,0.09
January,1999,0.03
February,1999,0.12
March,1999,0.06
April,1999,0.2
May,1999,0.1
June,1999,0.16999999999999998
July,1999,0.14
August,1999,0.16999999999999998
September,1999,0.06
October,1999,0.09
November,1999,0.19000000000000003
December,1999,0.07
January,2000,0.07
February,2000,0.1
March,2000,0.09
April,2000,0.07
May,2000,0.08
June,2000,0.04
July,2000,0.04
August,2000,0.16999999999999998
September,2000,0.12
October,2000,0.11000000000000001
November,2000,0.06
December,2000,0.03
January,2001,0.1
February,2001,0.12
March,2001,0.09
April,2001,0.05
May,2001,0.04
June,2001,0.07
July,2001,0.06
August,2001,0.07
September,2001,0.07
November,2001,0.02
December,2001,0.02
January,2002,0.015
February,2002,0.015
March,2002,0.05
April,2002,0.028000000000000004
May,2002,0.07700000000000001
June,2002,0.07
July,2002,0.18
August,2002,0.098
September,2002,0.05
October,2002,0.2800000000000001
November,2002,0.062
December,2002,0.048
January,2003,0.059
February,2003,0.04
March,2003,0.198
April,2003,0.448
May,2003,0.5799999999999998
June,2003,0.251
July,2003,0.34900000000000003
August,2003,0.161
September,2003,0.063
October,2003,0.10300000000000001
November,2003,0.064
December,2003,0.04700000000000001
January,2004,0.146
February,2004,0.067
March,2004,0.46900000000000003
April,2004,0.16599999999999998
May,2004,0.28600000000000003
June,2004,0.28900000000000003
July,2004,0.255
August,2004,0.323
September,2004,0.281
October,2004,0.1
December,2004,0.136
January,2005,0.089
February,2005,0.048
March,2005,0.077
April,2005,0.44300000000000006
May,2005,0.201
June,2005,0.297
July,2005,0.203
August,2005,0.42
September,2005,0.131
October,2005,0.07200000000000001
November,2005,0.14200000000000002
December,2005,0.155
January,2006,0.268
February,2006,0.087
March,2006,0.22200000000000003
April,2006,0.115
May,2006,0.068
June,2006,0.185
July,2006,0.29800000000000004
August,2006,0.037000000000000005
September,2006,0.021
October,2006,0.037000000000000005
November,2006,0.068
December,2006,0.28800000000000003
January,2007,0.0661
February,2007,0.122
March,2007,0.049
April,2007,0.07600000000000001
May,2007,0.105
June,2007,0.064
July,2007,0.0683
August,2007,0.0476
September,2007,0.028200000000000003
October,2007,0.015100000000000002
November,2007,0.038
December,2007,0.245
January,2008,0.049
February,2008,0.0455
March,2008,0.171
April,2008,0.0977
May,2008,0.044000000000000004
June,2008,0.036000000000000004
July,2008,0.247
August,2008,0.125
September,2008,0.044399999999999995
October,2008,0.053500000000000006
November,2008,0.562
December,2008,0.4648
January,2009,0.10980000000000001
February,2009,0.089
March,2009,0.049
April,2009,0.052
May,2009,0.271
June,2009,0.079
July,2009,0.048
August,2009,0.15200000000000002
September,2009,0.359
October,2009,0.14300000000000002
November,2009,0.11500000000000002
December,2009,0.052000000000000005
January,2010,0.188
February,2010,0.16199999999999998
March,2010,0.05500000000000001
April,2010,0.10400000000000001
May,2010,0.062
June,2010,0.068
July,2010,0.083
August,2010,0.09
September,2010,0.03
October,2010,0.097
November,2010,0.058
December,2010,0.094
January,2011,0.07600000000000001
February,2011,0.10500000000000001
March,2011,0.061
April,2011,0.08399999999999999
May,2011,0.09999999999999999
June,2011,0.11300000000000002
July,2011,0.10900000000000001
August,2011,0.14300000000000002
September,2011,0.059
October,2011,0.133
November,2011,0.14
December,2011,0.078
January,2012,0.0663
February,2012,0.0653
March,2012,0.0785
April,2012,0.09369999999999999
May,2012,0.0541
June,2012,0.066
July,2012,0.0531
September,2012,0.2292
October,2012,0.0848
November,2012,0.1612
December,2012,0.13140000000000002
January,2013,0.07
February,2013,0.11000000000000001
March,2013,0.069
April,2013,0.07100000000000001
May,2013,0.040999999999999995
June,2013,0.21100000000000002
July,2013,0.066
August,2013,0.168
September,2013,0.08600000000000001
October,2013,0.14700000000000002
November,2013,0.043
December,2013,0.069
January,2014,0.0678
March,2014,0.060520000000000004
April,2014,0.11376
May,2014,0.04262
June,2014,0.00912
July,2014,0.079
August,2014,0.08879999999999999
September,2014,0.1131
October,2014,0.0417
November,2014,0.0465
December,2014,0.0537
January,2015,0.053000000000000005
February,2015,0.066
March,2015,0.061
April,2015,0.06
May,2015,0.049
June,2015,0.236
July,2015,0.047
August,2015,0.047
September,2015,0.056999999999999995
October,2015,0.08199999999999999
November,2015,0.04
December,2015,0.045
January,2016,0.066
February,2016,0.061
March,2016,0.05500000000000001
April,2016,0.052000000000000005
May,2016,0.08399999999999999
June,2016,0.009000000000000001
July,2016,0.043
August,2016,0.05
September,2016,0.035
October,2016,0.046
November,2016,0.08000000000000002
December,2016,0.054000000000000006
