MonthName,Year,value_final
April,1998,1.2
June,1998,0.2
August,1998,0.24
October,1998,0.05
November,1998,0.04
December,1998,0.03
January,1999,0.03
February,1999,0.04
March,1999,0.03
April,1999,0.12
May,1999,0.03
June,1999,0.09
July,1999,0.01
August,1999,0.12
September,1999,0.02
October,1999,0.03
November,1999,0.04
December,1999,0.03
January,2000,0.03
February,2000,0.01
March,2000,0.01
April,2000,0.05
May,2000,0.09
June,2000,0.01
July,2000,0.04
August,2000,0.08
September,2000,0.04
October,2000,0.05
November,2000,0.03
December,2000,0.03
January,2001,0.03
February,2001,0.03
March,2001,0.06
April,2001,0.04
May,2001,0.03
June,2001,0.07
July,2001,0.01
August,2001,0.09
September,2001,0.02
November,2001,0.005
February,2002,0.02
March,2002,0.01
April,2002,0.06
May,2002,0.06
June,2002,0.005
July,2002,0.06
August,2002,0.05
September,2002,0.01
October,2002,0.13
December,2002,0.03
January,2003,0.013999999999999999
February,2003,0.08
March,2003,0.065
April,2003,0.13699999999999998
May,2003,0.048
June,2003,0.085
July,2003,0.054000000000000006
August,2003,0.028999999999999998
September,2003,0.012
October,2003,0.025
November,2003,0.05
December,2003,0.4
January,2004,0.03
March,2004,0.055
April,2004,0.059000000000000004
May,2004,0.043
June,2004,0.047
July,2004,0.019
August,2004,0.205
September,2004,0.04
October,2004,0.04
December,2004,0.061
January,2005,0.027999999999999997
February,2005,0.036000000000000004
March,2005,0.1
April,2005,0.019
May,2005,0.039
June,2005,0.033
July,2005,0.139
August,2005,0.09699999999999999
September,2005,0.042
October,2005,0.055999999999999994
November,2005,0.07400000000000001
December,2005,0.10400000000000001
January,2006,0.031
February,2006,0.05
March,2006,0.096
April,2006,0.052000000000000005
May,2006,0.084
June,2006,0.044000000000000004
July,2006,0.024
August,2006,0.027000000000000003
September,2006,0.11
October,2006,0.005
November,2006,0.023
December,2006,0.105
January,2007,0.0608
February,2007,0.026000000000000002
March,2007,0.07400000000000001
April,2007,0.078
May,2007,0.035
June,2007,0.0278
July,2007,0.077
August,2007,0.062
September,2007,0.042
October,2007,0.0202
November,2007,0.033
December,2007,0.261
February,2008,0.0208
March,2008,0.037000000000000005
May,2008,0.08499999999999999
June,2008,0.134
July,2008,0.348
August,2008,0.055
September,2008,0.02
October,2008,0.06
November,2008,0.028999999999999998
December,2008,0.043
January,2009,0.027999999999999997
February,2009,0.022000000000000002
March,2009,0.047
April,2009,0.042
May,2009,0.0198
June,2009,0.057999999999999996
July,2009,0.008
August,2009,0.304
September,2009,0.021
October,2009,0.03
November,2009,0.053
December,2009,0.049
January,2010,0.016
February,2010,0.027999999999999997
March,2010,0.027000000000000003
April,2010,0.051
May,2010,0.068
June,2010,0.047
July,2010,0.046
August,2010,0.065
September,2010,0.043
October,2010,0.027999999999999997
November,2010,0.037000000000000005
December,2010,0.027999999999999997
January,2011,0.027000000000000003
February,2011,0.153
March,2011,0.022000000000000002
April,2011,0.018000000000000002
May,2011,0.015
June,2011,0.022000000000000002
August,2011,0.047
September,2011,0.027999999999999997
November,2011,0.044
December,2011,0.022000000000000002
February,2012,0.079
March,2012,0.0796
April,2012,0.0629
May,2012,0.087
July,2012,0.0629
August,2012,0.0131
October,2012,0.086
November,2012,0.10400000000000001
December,2012,0.0475
January,2013,0.016
February,2013,0.08900000000000001
March,2013,0.123
April,2013,0.027
May,2013,0.018000000000000002
June,2013,0.097
July,2013,0.05224
August,2013,0.037
September,2013,0.034
October,2013,0.024
November,2013,0.10300000000000001
December,2013,0.213
January,2014,0.02888
March,2014,0.07300000000000001
April,2014,0.055099999999999996
May,2014,0.10178
June,2014,0.0779
July,2014,0.01
August,2014,0.0143
September,2014,0.0328
October,2014,0.0228
November,2014,0.069
December,2014,0.06817999999999999
January,2015,0.043000000000000003
February,2015,0.024
March,2015,0.162
April,2015,0.107
May,2015,0.076
June,2015,0.132
July,2015,0.0228
August,2015,0.0371
September,2015,0.046
October,2015,0.05500000000000001
November,2015,0.0415
December,2015,0.026
January,2016,0.027000000000000003
February,2016,0.062000000000000006
March,2016,0.11300000000000002
April,2016,0.057
May,2016,0.083
June,2016,0.037
July,2016,0.07500000000000001
August,2016,0.0212
September,2016,0.0252
October,2016,0.039999999999999994
November,2016,0.051000000000000004
December,2016,0.08800000000000001
