MonthName,Year,value_final
January,2009,0.122
February,2009,0.087
March,2009,0.031
April,2009,0.04
May,2009,0.017
June,2009,0.015
July,2009,0.0
August,2009,0.053
September,2009,0.024
October,2009,0.387
November,2009,0.121
December,2009,0.051
January,2010,0.491
February,2010,0.778
March,2010,0.597
April,2010,0.8640000000000001
May,2010,0.244
June,2010,0.095
July,2010,0.12200000000000001
August,2010,0.22499999999999998
September,2010,0.7010000000000001
October,2010,0.10300000000000001
November,2010,0.5
December,2010,0.065
January,2011,0.28800000000000003
February,2011,0.14200000000000002
March,2011,0.24
April,2011,0.077
May,2011,0.15
June,2011,0.10200000000000001
July,2011,0.187
August,2011,0.196
September,2011,0.065
October,2011,0.135
November,2011,0.137
December,2011,0.11699999999999999
January,2012,0.09000000000000001
February,2012,0.068
March,2012,0.17
April,2012,0.14500000000000002
May,2012,0.28700000000000003
July,2012,0.325
August,2012,0.093
September,2012,0.14
October,2012,0.112
November,2012,0.048
December,2012,0.07500000000000001
January,2013,0.040999999999999995
February,2013,0.040999999999999995
March,2013,0.07
April,2013,0.042
May,2013,0.073
June,2013,0.02
July,2013,0.062
August,2013,0.13699999999999998
September,2013,0.299
October,2013,0.22699999999999998
November,2013,0.151
December,2013,0.151
January,2014,0.28500000000000003
March,2014,0.08
May,2014,0.055
June,2014,0.162
July,2014,0.36
September,2014,1.032
October,2014,0.859
November,2014,0.43899999999999995
December,2014,2.199
January,2015,0.161
February,2015,0.055999999999999994
March,2015,0.057
April,2015,0.055
May,2015,0.068
June,2015,0.20600000000000002
July,2015,0.043
August,2015,0.113
September,2015,0.09699999999999999
October,2015,0.08900000000000001
November,2015,0.04
December,2015,0.045
February,2016,0.044000000000000004
March,2016,0.079
April,2016,0.036000000000000004
May,2016,0.106
June,2016,0.131
July,2016,0.157
August,2016,0.019
September,2016,0.035
October,2016,0.021
November,2016,0.018000000000000002
December,2016,0.17
