Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Mercury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,Mercury,0.0,3.3,0.0,2.8,0.0,1.6,0.0,0.0,0.0,0.0
2006,Mercury,0.0,2.9,0.7,4.4,0.0,1.3,1.0,1.2,0.9,0.0
2007,Mercury,0.0,2.6,0.4,2.3,0.0,1.1,0.0,0.9,0.4,0.0
2008,Mercury,0.0,0.0,0.4,1.3,0.0,1.2,0.0,1.3,0.6,0.0
2009,Mercury,0.5,0.0,1.0,2.0,0.0,2.1,0.0,2.3,1.0,0.0
2010,Mercury,11.0,3.6,0.7,2.1,0.0,2.1,4.1,2.0,0.8,0.0
2011,Mercury,5.0,5.9,0.9,2.0,0.0,2.5,3.7,2.4,0.9,0.0
2012,Mercury,0.0,1.4,0.1,0.4,0.0,0.6,3.0,0.4,0.1,0.0
2013,Mercury,0.1,0.2,0.0,0.0,0.3,0.0,1.3,0.0,0.0,0.0
2014,Mercury,0.1,1.0,0.1,0.3,0.1,0.3,0.0,0.1,0.1,0.0
2015,Mercury,0.1,0.0,0.1,0.1,0.1,0.3,0.0,0.4,0.0,0.0
2016,Mercury,0.0,0.0,0.2,0.7,0.2,0.1,0.0,0.0,0.4,0.0
