,id,value,location,sample date,measure
70642,910642,32.9,Kannika,9-May-08,Aluminium
70680,911545,33.0,Kannika,9-May-08,Aluminium
70718,912462,36.4,Kannika,9-May-08,Aluminium
70756,913414,38.7,Sakda,9-May-08,Aluminium
70794,914369,44.2,Sakda,9-May-08,Aluminium
70832,915334,45.1,Sakda,9-May-08,Aluminium
71147,902467,44.8,Chai,31-May-08,Aluminium
71188,903592,41.3,Chai,31-May-08,Aluminium
71229,904726,40.5,Chai,31-May-08,Aluminium
74500,910870,31.1,Kannika,12-Oct-08,Aluminium
74545,911787,32.0,Kannika,12-Oct-08,Aluminium
74590,912693,34.4,Kannika,12-Oct-08,Aluminium
74635,913648,47.2,Sakda,12-Oct-08,Aluminium
74680,914613,46.8,Sakda,12-Oct-08,Aluminium
74725,915567,47.0,Sakda,12-Oct-08,Aluminium
74854,902787,33.1,Chai,17-Oct-08,Aluminium
74898,903923,35.5,Chai,17-Oct-08,Aluminium
74942,905045,36.8,Chai,17-Oct-08,Aluminium
74986,905962,69.3,Somchair,19-Oct-08,Aluminium
75031,906553,50.4,Busarakhan,19-Oct-08,Aluminium
79085,1020454,330.0,Kannika,17-Apr-09,Aluminium
79132,1021549,360.0,Kannika,17-Apr-09,Aluminium
79179,1022705,410.0,Kannika,17-Apr-09,Aluminium
79226,1023862,500.0,Sakda,17-Apr-09,Aluminium
79273,1024983,480.0,Sakda,17-Apr-09,Aluminium
79320,1026104,420.0,Sakda,17-Apr-09,Aluminium
79367,1005738,710.0,Chai,18-Apr-09,Aluminium
79414,1007126,700.0,Chai,18-Apr-09,Aluminium
79461,1008488,790.0,Chai,18-Apr-09,Aluminium
79727,1009460,690.0,Somchair,25-Apr-09,Aluminium
79774,1010236,520.0,Busarakhan,25-Apr-09,Aluminium
79956,1020522,150.0,Kannika,8-May-09,Aluminium
80003,1021616,144.0,Kannika,8-May-09,Aluminium
80050,1022773,150.0,Kannika,8-May-09,Aluminium
80097,1023930,140.0,Sakda,8-May-09,Aluminium
