,id,value,location,sample date,measure
2,2227,0.33,Boonsri,11-Jan-98,Ammonium
34,8297,0.3,Kannika,26-Jan-98,Ammonium
66,8778,0.28,Kannika,26-Jan-98,Ammonium
98,9261,0.27,Kannika,26-Jan-98,Ammonium
130,5054,0.4,Chai,31-Jan-98,Ammonium
162,5538,0.4,Chai,31-Jan-98,Ammonium
194,6016,0.41,Chai,31-Jan-98,Ammonium
226,2267,0.14,Boonsri,15-Feb-98,Ammonium
258,5093,0.77,Chai,20-Feb-98,Ammonium
290,5577,0.6,Chai,20-Feb-98,Ammonium
322,6055,0.32,Chai,20-Feb-98,Ammonium
354,8337,0.14,Kannika,24-Feb-98,Ammonium
386,8818,0.13,Kannika,24-Feb-98,Ammonium
418,9301,0.14,Kannika,24-Feb-98,Ammonium
450,2307,0.2,Boonsri,12-Mar-98,Ammonium
482,5132,1.78,Chai,19-Mar-98,Ammonium
514,5616,1.11,Chai,19-Mar-98,Ammonium
546,6094,0.63,Chai,19-Mar-98,Ammonium
578,8377,0.23,Kannika,21-Mar-98,Ammonium
610,8858,0.27,Kannika,21-Mar-98,Ammonium
642,9341,0.21,Kannika,21-Mar-98,Ammonium
674,2347,0.12,Boonsri,11-Apr-98,Ammonium
708,2710,0.14,Boonsri,11-Apr-98,Ammonium
741,4811,14.2,Kohsoom,16-Apr-98,Ammonium
775,5171,0.16,Chai,17-Apr-98,Ammonium
809,5655,0.12,Chai,17-Apr-98,Ammonium
843,6133,0.16,Chai,17-Apr-98,Ammonium
877,6495,1.52,Somchair,17-Apr-98,Ammonium
910,8417,0.19,Kannika,18-Apr-98,Ammonium
944,8898,0.16,Kannika,18-Apr-98,Ammonium
978,9381,0.19,Kannika,18-Apr-98,Ammonium
1012,9870,0.16,Sakda,18-Apr-98,Ammonium
1045,2389,0.14,Boonsri,9-May-98,Ammonium
1077,2751,0.28,Boonsri,9-May-98,Ammonium
1109,5212,0.41,Chai,20-May-98,Ammonium
1142,5696,0.3,Chai,20-May-98,Ammonium
1175,6174,0.31,Chai,20-May-98,Ammonium
1208,8459,0.31,Kannika,26-May-98,Ammonium
1240,8940,0.38,Kannika,26-May-98,Ammonium
1272,9423,0.2,Kannika,26-May-98,Ammonium
1304,2428,0.16,Boonsri,6-Jun-98,Ammonium
1338,2790,0.12,Boonsri,6-Jun-98,Ammonium
1372,4853,0.95,Kohsoom,27-Jun-98,Ammonium
1406,5252,0.21,Chai,28-Jun-98,Ammonium
1439,5736,0.16,Chai,28-Jun-98,Ammonium
1472,6214,0.21,Chai,28-Jun-98,Ammonium
1505,6536,1.02,Somchair,29-Jun-98,Ammonium
1538,8499,0.31,Kannika,29-Jun-98,Ammonium
1571,8980,0.28,Kannika,29-Jun-98,Ammonium
1604,9463,0.2,Kannika,29-Jun-98,Ammonium
1637,9911,0.19,Sakda,30-Jun-98,Ammonium
1671,2470,0.15,Boonsri,11-Jul-98,Ammonium
1703,2832,0.11,Boonsri,11-Jul-98,Ammonium
1736,5293,0.77,Chai,23-Jul-98,Ammonium
