,id,value,location,sample date,measure
22,2247,0.0,Boonsri,11-Jan-98,Arsenic
54,8317,0.0,Kannika,26-Jan-98,Arsenic
86,8798,0.0,Kannika,26-Jan-98,Arsenic
118,9281,0.0,Kannika,26-Jan-98,Arsenic
150,5074,0.0,Chai,31-Jan-98,Arsenic
182,5558,0.0,Chai,31-Jan-98,Arsenic
214,6036,0.0,Chai,31-Jan-98,Arsenic
246,2287,0.0,Boonsri,15-Feb-98,Arsenic
278,5113,0.0,Chai,20-Feb-98,Arsenic
310,5597,0.0,Chai,20-Feb-98,Arsenic
342,6075,0.0,Chai,20-Feb-98,Arsenic
374,8357,0.0,Kannika,24-Feb-98,Arsenic
406,8838,0.0,Kannika,24-Feb-98,Arsenic
438,9321,0.0,Kannika,24-Feb-98,Arsenic
470,2327,0.0,Boonsri,12-Mar-98,Arsenic
502,5152,0.0,Chai,19-Mar-98,Arsenic
534,5636,0.0,Chai,19-Mar-98,Arsenic
566,6114,0.0,Chai,19-Mar-98,Arsenic
598,8397,0.0,Kannika,21-Mar-98,Arsenic
630,8878,0.0,Kannika,21-Mar-98,Arsenic
662,9361,0.0,Kannika,21-Mar-98,Arsenic
694,2367,0.0,Boonsri,11-Apr-98,Arsenic
728,2730,0.0,Boonsri,11-Apr-98,Arsenic
761,4831,0.0,Kohsoom,16-Apr-98,Arsenic
795,5191,0.0,Chai,17-Apr-98,Arsenic
829,5675,0.0,Chai,17-Apr-98,Arsenic
863,6153,0.0,Chai,17-Apr-98,Arsenic
897,6515,0.0,Somchair,17-Apr-98,Arsenic
930,8437,0.0,Kannika,18-Apr-98,Arsenic
964,8918,0.0,Kannika,18-Apr-98,Arsenic
998,9401,0.0,Kannika,18-Apr-98,Arsenic
1032,9890,0.0,Sakda,18-Apr-98,Arsenic
1065,2409,0.0,Boonsri,9-May-98,Arsenic
1097,2771,0.0,Boonsri,9-May-98,Arsenic
1129,5232,0.0,Chai,20-May-98,Arsenic
1162,5716,0.0,Chai,20-May-98,Arsenic
1195,6194,0.0,Chai,20-May-98,Arsenic
1228,8479,0.0,Kannika,26-May-98,Arsenic
1260,8960,0.0,Kannika,26-May-98,Arsenic
1292,9443,0.0,Kannika,26-May-98,Arsenic
1324,2448,0.0,Boonsri,6-Jun-98,Arsenic
1358,2810,0.0,Boonsri,6-Jun-98,Arsenic
1392,4873,0.0,Kohsoom,27-Jun-98,Arsenic
1426,5272,0.0,Chai,28-Jun-98,Arsenic
1459,5756,0.0,Chai,28-Jun-98,Arsenic
1492,6234,0.0,Chai,28-Jun-98,Arsenic
1525,6556,0.0,Somchair,29-Jun-98,Arsenic
1558,8519,0.0,Kannika,29-Jun-98,Arsenic
1591,9000,0.0,Kannika,29-Jun-98,Arsenic
1624,9483,0.0,Kannika,29-Jun-98,Arsenic
1657,9931,0.0,Sakda,30-Jun-98,Arsenic
1691,2490,0.0,Boonsri,11-Jul-98,Arsenic
1723,2852,0.0,Boonsri,11-Jul-98,Arsenic
1756,5313,0.0,Chai,23-Jul-98,Arsenic
1788,5797,0.0,Chai,23-Jul-98,Arsenic
1820,6275,0.0,Chai,23-Jul-98,Arsenic
1852,8560,0.0,Kannika,26-Jul-98,Arsenic
1884,9041,0.0,Kannika,26-Jul-98,Arsenic
1916,9524,0.0,Kannika,26-Jul-98,Arsenic
1948,2530,0.0,Boonsri,8-Aug-98,Arsenic
1980,2893,0.0,Boonsri,8-Aug-98,Arsenic
2030,4915,0.0,Kohsoom,22-Aug-98,Arsenic
2062,5359,0.0,Chai,23-Aug-98,Arsenic
2094,5837,0.0,Chai,23-Aug-98,Arsenic
2126,6315,0.0,Chai,23-Aug-98,Arsenic
