,id,value,location,sample date,measure
68496,910483,14.6,Kannika,10-Jan-08,Barium
68539,911386,14.5,Kannika,10-Jan-08,Barium
68582,912303,13.2,Kannika,10-Jan-08,Barium
68623,913207,20.12,Sakda,12-Jan-08,Barium
68664,914162,19.7,Sakda,12-Jan-08,Barium
68705,915127,19.25,Sakda,12-Jan-08,Barium
68748,902195,12.2,Chai,18-Jan-08,Barium
68788,903320,13.0,Chai,18-Jan-08,Barium
68827,904454,12.8,Chai,18-Jan-08,Barium
68945,905568,12.8,Somchair,3-Feb-08,Barium
68983,906157,12.0,Busarakhan,3-Feb-08,Barium
69046,902243,18.4,Chai,15-Feb-08,Barium
69088,903368,18.7,Chai,15-Feb-08,Barium
69130,904502,18.4,Chai,15-Feb-08,Barium
69394,913260,15.4,Sakda,23-Feb-08,Barium
69438,914215,18.0,Sakda,23-Feb-08,Barium
69482,915180,17.2,Sakda,23-Feb-08,Barium
70153,913348,20.1,Sakda,11-Apr-08,Barium
70197,914303,21.8,Sakda,11-Apr-08,Barium
70241,915268,21.4,Sakda,11-Apr-08,Barium
70285,910576,18.6,Kannika,14-Apr-08,Barium
70329,911479,19.0,Kannika,14-Apr-08,Barium
70373,912396,18.4,Kannika,14-Apr-08,Barium
70417,902379,21.0,Chai,28-Apr-08,Barium
70461,903504,18.8,Chai,28-Apr-08,Barium
70505,904638,20.5,Chai,28-Apr-08,Barium
70550,905650,28.4,Somchair,3-May-08,Barium
70594,906240,22.0,Busarakhan,3-May-08,Barium
71333,903647,18.0,Chai,12-Jun-08,Barium
71413,913458,15.7,Sakda,13-Jun-08,Barium
71525,910684,40.0,Kannika,15-Jun-08,Barium
71842,905760,35.0,Somchair,26-Jun-08,Barium
71888,906350,56.0,Busarakhan,26-Jun-08,Barium
73641,913581,21.0,Sakda,6-Sep-08,Barium
73684,914546,24.0,Sakda,6-Sep-08,Barium
73727,915500,28.0,Sakda,6-Sep-08,Barium
73770,910803,21.0,Kannika,7-Sep-08,Barium
73813,911720,28.0,Kannika,7-Sep-08,Barium
73856,912626,24.0,Kannika,7-Sep-08,Barium
73899,902700,32.0,Chai,11-Sep-08,Barium
73942,903836,40.0,Chai,11-Sep-08,Barium
73985,904958,36.0,Chai,11-Sep-08,Barium
74103,905895,52.0,Somchair,21-Sep-08,Barium
74146,906485,43.0,Busarakhan,21-Sep-08,Barium
74486,910856,21.0,Kannika,12-Oct-08,Barium
74531,911773,19.0,Kannika,12-Oct-08,Barium
74576,912679,22.0,Kannika,12-Oct-08,Barium
74621,913634,23.0,Sakda,12-Oct-08,Barium
74666,914599,21.0,Sakda,12-Oct-08,Barium
74711,915553,24.0,Sakda,12-Oct-08,Barium
74840,902773,19.0,Chai,17-Oct-08,Barium
74884,903909,21.0,Chai,17-Oct-08,Barium
74928,905031,24.0,Chai,17-Oct-08,Barium
74973,905949,39.0,Somchair,19-Oct-08,Barium
75018,906540,38.0,Busarakhan,19-Oct-08,Barium
75383,910912,30.4,Kannika,7-Nov-08,Barium
75429,911829,25.1,Kannika,7-Nov-08,Barium
75475,912735,26.0,Kannika,7-Nov-08,Barium
75521,913690,26.0,Sakda,7-Nov-08,Barium
75567,914655,25.0,Sakda,7-Nov-08,Barium
75613,915609,24.0,Sakda,7-Nov-08,Barium
75659,902846,18.5,Chai,15-Nov-08,Barium
75704,903981,19.0,Chai,15-Nov-08,Barium
75750,905104,19.2,Chai,15-Nov-08,Barium
75796,906004,53.0,Somchair,17-Nov-08,Barium
75842,906595,44.0,Busarakhan,17-Nov-08,Barium
76146,906058,30.0,Somchair,5-Dec-08,Barium
76187,906649,28.0,Busarakhan,5-Dec-08,Barium
76382,910967,18.0,Kannika,12-Dec-08,Barium
76428,911884,20.0,Kannika,12-Dec-08,Barium
76474,912790,24.0,Kannika,12-Dec-08,Barium
76520,913745,19.0,Sakda,12-Dec-08,Barium
76566,914710,21.0,Sakda,12-Dec-08,Barium
76612,915664,22.0,Sakda,12-Dec-08,Barium
76658,906105,31.0,Somchair,15-Dec-08,Barium
76705,906700,25.0,Busarakhan,15-Dec-08,Barium
79070,1020431,48.0,Kannika,17-Apr-09,Barium
79117,1021526,50.0,Kannika,17-Apr-09,Barium
79164,1022682,44.0,Kannika,17-Apr-09,Barium
79211,1023839,56.0,Sakda,17-Apr-09,Barium
79258,1024960,58.0,Sakda,17-Apr-09,Barium
79305,1026081,53.0,Sakda,17-Apr-09,Barium
79352,1005715,41.0,Chai,18-Apr-09,Barium
79399,1007103,46.0,Chai,18-Apr-09,Barium
79446,1008465,48.0,Chai,18-Apr-09,Barium
79712,1009437,78.0,Somchair,25-Apr-09,Barium
79759,1010213,70.0,Busarakhan,25-Apr-09,Barium
79941,1020499,40.0,Kannika,8-May-09,Barium
79988,1021593,45.0,Kannika,8-May-09,Barium
80035,1022750,42.0,Kannika,8-May-09,Barium
80082,1023907,39.0,Sakda,8-May-09,Barium
80129,1025028,41.0,Sakda,8-May-09,Barium
80176,1026149,50.0,Sakda,8-May-09,Barium
80440,1005803,30.0,Chai,21-May-09,Barium
80487,1007191,30.0,Chai,21-May-09,Barium
80534,1008553,30.0,Chai,21-May-09,Barium
80581,1009504,56.0,Somchair,25-May-09,Barium
80628,1010280,58.0,Busarakhan,25-May-09,Barium
83427,1024167,71.0,Sakda,7-Sep-09,Barium
83471,1025288,65.0,Sakda,7-Sep-09,Barium
83515,1026409,60.0,Sakda,7-Sep-09,Barium
83725,1020762,70.0,Kannika,9-Sep-09,Barium
83770,1021856,68.0,Kannika,9-Sep-09,Barium
83815,1023013,60.0,Kannika,9-Sep-09,Barium
105670,1966025,22.0,Somchair,25-Aug-12,Barium
105692,1966931,21.0,Busarakhan,25-Aug-12,Barium
106193,1979931,35.0,Chai,5-Oct-12,Barium
106212,1980882,30.0,Chai,5-Oct-12,Barium
106231,1981833,24.0,Chai,5-Oct-12,Barium
106252,1966106,35.0,Somchair,7-Oct-12,Barium
106274,1967012,27.0,Busarakhan,7-Oct-12,Barium
106318,2218061,30.0,Kannika,14-Oct-12,Barium
106339,2218472,26.0,Kannika,14-Oct-12,Barium
106360,2218875,31.0,Kannika,14-Oct-12,Barium
106381,2219272,31.0,Sakda,14-Oct-12,Barium
106402,2219682,25.0,Sakda,14-Oct-12,Barium
106423,2220084,32.0,Sakda,14-Oct-12,Barium
106821,2219307,26.0,Sakda,5-Nov-12,Barium
106840,2219717,28.0,Sakda,5-Nov-12,Barium
106859,2220119,25.0,Sakda,5-Nov-12,Barium
