,id,value,location,sample date,measure
19,2244,0.0,Boonsri,11-Jan-98,Cadmium
51,8314,0.0,Kannika,26-Jan-98,Cadmium
83,8795,0.0,Kannika,26-Jan-98,Cadmium
115,9278,0.0,Kannika,26-Jan-98,Cadmium
147,5071,0.0,Chai,31-Jan-98,Cadmium
179,5555,0.0,Chai,31-Jan-98,Cadmium
211,6033,0.0,Chai,31-Jan-98,Cadmium
243,2284,0.0,Boonsri,15-Feb-98,Cadmium
275,5110,0.0,Chai,20-Feb-98,Cadmium
307,5594,0.0,Chai,20-Feb-98,Cadmium
339,6072,0.0,Chai,20-Feb-98,Cadmium
371,8354,0.0,Kannika,24-Feb-98,Cadmium
403,8835,0.0,Kannika,24-Feb-98,Cadmium
435,9318,0.0,Kannika,24-Feb-98,Cadmium
467,2324,0.0,Boonsri,12-Mar-98,Cadmium
499,5149,0.0,Chai,19-Mar-98,Cadmium
531,5633,0.0,Chai,19-Mar-98,Cadmium
563,6111,0.0,Chai,19-Mar-98,Cadmium
595,8394,0.0,Kannika,21-Mar-98,Cadmium
627,8875,0.0,Kannika,21-Mar-98,Cadmium
659,9358,0.0,Kannika,21-Mar-98,Cadmium
691,2364,0.31,Boonsri,11-Apr-98,Cadmium
725,2727,0.3,Boonsri,11-Apr-98,Cadmium
758,4828,2.76,Kohsoom,16-Apr-98,Cadmium
792,5188,0.67,Chai,17-Apr-98,Cadmium
826,5672,0.59,Chai,17-Apr-98,Cadmium
860,6150,0.49,Chai,17-Apr-98,Cadmium
894,6512,1.89,Somchair,17-Apr-98,Cadmium
927,8434,0.97,Kannika,18-Apr-98,Cadmium
961,8915,0.55,Kannika,18-Apr-98,Cadmium
995,9398,0.45,Kannika,18-Apr-98,Cadmium
1029,9887,0.61,Sakda,18-Apr-98,Cadmium
1062,2406,0.0,Boonsri,9-May-98,Cadmium
1094,2768,0.0,Boonsri,9-May-98,Cadmium
1126,5229,0.0,Chai,20-May-98,Cadmium
1159,5713,0.0,Chai,20-May-98,Cadmium
1192,6191,0.0,Chai,20-May-98,Cadmium
1225,8476,0.0,Kannika,26-May-98,Cadmium
1257,8957,0.0,Kannika,26-May-98,Cadmium
1289,9440,0.0,Kannika,26-May-98,Cadmium
1321,2445,0.5,Boonsri,6-Jun-98,Cadmium
1355,2807,0.35,Boonsri,6-Jun-98,Cadmium
1389,4870,45.6,Kohsoom,27-Jun-98,Cadmium
1423,5269,0.8,Chai,28-Jun-98,Cadmium
1456,5753,0.4,Chai,28-Jun-98,Cadmium
1489,6231,0.45,Chai,28-Jun-98,Cadmium
