,id,value,location,sample date,measure
17,2242,17.0,Boonsri,11-Jan-98,Chromium
49,8312,10.0,Kannika,26-Jan-98,Chromium
81,8793,10.0,Kannika,26-Jan-98,Chromium
113,9276,10.0,Kannika,26-Jan-98,Chromium
145,5069,0.0,Chai,31-Jan-98,Chromium
177,5553,0.0,Chai,31-Jan-98,Chromium
209,6031,0.0,Chai,31-Jan-98,Chromium
241,2282,9.0,Boonsri,15-Feb-98,Chromium
273,5108,0.0,Chai,20-Feb-98,Chromium
305,5592,0.0,Chai,20-Feb-98,Chromium
337,6070,0.0,Chai,20-Feb-98,Chromium
369,8352,6.0,Kannika,24-Feb-98,Chromium
401,8833,6.0,Kannika,24-Feb-98,Chromium
433,9316,6.0,Kannika,24-Feb-98,Chromium
465,2322,6.0,Boonsri,12-Mar-98,Chromium
497,5147,0.0,Chai,19-Mar-98,Chromium
529,5631,0.0,Chai,19-Mar-98,Chromium
561,6109,0.0,Chai,19-Mar-98,Chromium
593,8392,10.0,Kannika,21-Mar-98,Chromium
625,8873,10.0,Kannika,21-Mar-98,Chromium
657,9356,10.0,Kannika,21-Mar-98,Chromium
689,2362,15.0,Boonsri,11-Apr-98,Chromium
723,2725,28.0,Boonsri,11-Apr-98,Chromium
756,4826,4.0,Kohsoom,16-Apr-98,Chromium
790,5186,18.0,Chai,17-Apr-98,Chromium
824,5670,10.0,Chai,17-Apr-98,Chromium
858,6148,9.0,Chai,17-Apr-98,Chromium
892,6510,42.0,Somchair,17-Apr-98,Chromium
925,8432,10.0,Kannika,18-Apr-98,Chromium
959,8913,3.0,Kannika,18-Apr-98,Chromium
993,9396,20.0,Kannika,18-Apr-98,Chromium
1027,9885,147.0,Sakda,18-Apr-98,Chromium
1060,2404,9.0,Boonsri,9-May-98,Chromium
1092,2766,10.0,Boonsri,9-May-98,Chromium
1124,5227,0.0,Chai,20-May-98,Chromium
1157,5711,0.0,Chai,20-May-98,Chromium
1190,6189,0.0,Chai,20-May-98,Chromium
1223,8474,20.0,Kannika,26-May-98,Chromium
1255,8955,20.0,Kannika,26-May-98,Chromium
1287,9438,20.0,Kannika,26-May-98,Chromium
1319,2443,11.0,Boonsri,6-Jun-98,Chromium
1353,2805,10.0,Boonsri,6-Jun-98,Chromium
1387,4868,12.0,Kohsoom,27-Jun-98,Chromium
1421,5267,13.0,Chai,28-Jun-98,Chromium
1454,5751,19.0,Chai,28-Jun-98,Chromium
1487,6229,15.0,Chai,28-Jun-98,Chromium
1520,6551,21.0,Somchair,29-Jun-98,Chromium
1553,8514,10.0,Kannika,29-Jun-98,Chromium
1586,8995,10.0,Kannika,29-Jun-98,Chromium
1619,9478,10.0,Kannika,29-Jun-98,Chromium
1652,9926,10.0,Sakda,30-Jun-98,Chromium
1686,2485,0.0,Boonsri,11-Jul-98,Chromium
1718,2847,0.0,Boonsri,11-Jul-98,Chromium
1751,5308,0.0,Chai,23-Jul-98,Chromium
1783,5792,0.0,Chai,23-Jul-98,Chromium
1815,6270,0.0,Chai,23-Jul-98,Chromium
1847,8555,30.0,Kannika,26-Jul-98,Chromium
1879,9036,30.0,Kannika,26-Jul-98,Chromium
1911,9519,30.0,Kannika,26-Jul-98,Chromium
1943,2525,19.0,Boonsri,8-Aug-98,Chromium
1975,2888,21.0,Boonsri,8-Aug-98,Chromium
1993,5329,17.4,Chai,15-Aug-98,Chromium
1999,8576,27.2,Kannika,15-Aug-98,Chromium
2005,9740,14.9,Sakda,15-Aug-98,Chromium
2025,4910,13.0,Kohsoom,22-Aug-98,Chromium
2057,5354,11.0,Chai,23-Aug-98,Chromium
2089,5832,9.0,Chai,23-Aug-98,Chromium
2121,6310,10.0,Chai,23-Aug-98,Chromium
2153,6592,10.0,Somchair,24-Aug-98,Chromium
2185,8601,20.0,Kannika,25-Aug-98,Chromium
2217,9076,10.0,Kannika,25-Aug-98,Chromium
2249,9559,10.0,Kannika,25-Aug-98,Chromium
2281,9968,9.0,Sakda,26-Aug-98,Chromium
2313,2565,9.0,Boonsri,5-Sep-98,Chromium
2345,2928,6.0,Boonsri,5-Sep-98,Chromium
2377,8641,30.0,Kannika,20-Sep-98,Chromium
2409,9116,30.0,Kannika,20-Sep-98,Chromium
2441,9599,30.0,Kannika,20-Sep-98,Chromium
2473,5394,0.0,Chai,27-Sep-98,Chromium
2505,5872,0.0,Chai,27-Sep-98,Chromium
2537,6350,0.0,Chai,27-Sep-98,Chromium
2569,4950,0.0,Kohsoom,1-Oct-98,Chromium
2601,2605,21.0,Boonsri,3-Oct-98,Chromium
2633,2968,19.0,Boonsri,3-Oct-98,Chromium
2665,8681,9.0,Kannika,23-Oct-98,Chromium
2697,9156,10.0,Kannika,23-Oct-98,Chromium
2729,9639,12.0,Kannika,23-Oct-98,Chromium
2761,9765,7.0,Sakda,24-Oct-98,Chromium
2793,10008,7.0,Sakda,24-Oct-98,Chromium
2825,10128,5.0,Sakda,24-Oct-98,Chromium
2857,6752,9.0,Busarakhan,29-Oct-98,Chromium
2889,5434,1.0,Chai,30-Oct-98,Chromium
2921,5912,8.0,Chai,30-Oct-98,Chromium
2953,6390,8.0,Chai,30-Oct-98,Chromium
2985,6632,11.0,Somchair,30-Oct-98,Chromium
3017,2645,0.0,Boonsri,7-Nov-98,Chromium
3049,3008,0.0,Boonsri,7-Nov-98,Chromium
3081,4990,27.0,Kohsoom,14-Nov-98,Chromium
3113,8721,20.0,Kannika,20-Nov-98,Chromium
3145,9196,10.0,Kannika,20-Nov-98,Chromium
3177,9679,10.0,Kannika,20-Nov-98,Chromium
3209,9805,10.0,Sakda,20-Nov-98,Chromium
3241,10048,11.9,Sakda,20-Nov-98,Chromium
3273,10168,16.0,Sakda,20-Nov-98,Chromium
3305,5474,5.0,Chai,26-Nov-98,Chromium
3337,5952,5.0,Chai,26-Nov-98,Chromium
3369,6430,30.0,Chai,26-Nov-98,Chromium
3401,6672,7.0,Somchair,28-Nov-98,Chromium
3433,6792,5.0,Busarakhan,28-Nov-98,Chromium
3465,2685,9.0,Boonsri,5-Dec-98,Chromium
3497,3048,6.0,Boonsri,5-Dec-98,Chromium
3529,9845,6.0,Sakda,10-Dec-98,Chromium
3561,10088,9.0,Sakda,10-Dec-98,Chromium
3593,10208,6.0,Sakda,10-Dec-98,Chromium
3625,5030,39.0,Kohsoom,13-Dec-98,Chromium
3655,8755,10.0,Kannika,17-Dec-98,Chromium
3686,9236,10.0,Kannika,17-Dec-98,Chromium
3718,9719,20.0,Kannika,17-Dec-98,Chromium
3750,5514,13.0,Chai,18-Dec-98,Chromium
3782,5992,5.0,Chai,18-Dec-98,Chromium
3814,6470,5.0,Chai,18-Dec-98,Chromium
3846,6712,37.0,Somchair,19-Dec-98,Chromium
3878,6832,36.0,Busarakhan,19-Dec-98,Chromium
3930,41747,22.0,Boonsri,9-Jan-99,Chromium
3975,45736,46.0,Kohsoom,16-Jan-99,Chromium
4002,52454,10.0,Sakda,16-Jan-99,Chromium
4029,52875,14.0,Sakda,16-Jan-99,Chromium
4056,53636,7.0,Sakda,16-Jan-99,Chromium
4083,50879,21.0,Kannika,21-Jan-99,Chromium
4110,51296,34.0,Kannika,21-Jan-99,Chromium
4138,52053,14.0,Kannika,21-Jan-99,Chromium
4165,48100,13.0,Somchair,27-Jan-99,Chromium
4196,48868,22.0,Busarakhan,27-Jan-99,Chromium
4227,46130,12.0,Chai,30-Jan-99,Chromium
4259,46922,46.0,Chai,30-Jan-99,Chromium
4291,47326,19.0,Chai,30-Jan-99,Chromium
