,id,value,location,sample date,measure
16,2241,22.0,Boonsri,11-Jan-98,Copper
48,8311,10.0,Kannika,26-Jan-98,Copper
80,8792,10.0,Kannika,26-Jan-98,Copper
112,9275,10.0,Kannika,26-Jan-98,Copper
144,5068,0.0,Chai,31-Jan-98,Copper
176,5552,0.0,Chai,31-Jan-98,Copper
208,6030,0.0,Chai,31-Jan-98,Copper
240,2281,5.0,Boonsri,15-Feb-98,Copper
272,5107,0.0,Chai,20-Feb-98,Copper
304,5591,0.0,Chai,20-Feb-98,Copper
336,6069,0.0,Chai,20-Feb-98,Copper
368,8351,0.0,Kannika,24-Feb-98,Copper
400,8832,0.0,Kannika,24-Feb-98,Copper
432,9315,0.0,Kannika,24-Feb-98,Copper
464,2321,9.0,Boonsri,12-Mar-98,Copper
496,5146,0.0,Chai,19-Mar-98,Copper
528,5630,0.0,Chai,19-Mar-98,Copper
560,6108,0.0,Chai,19-Mar-98,Copper
592,8391,0.0,Kannika,21-Mar-98,Copper
624,8872,0.0,Kannika,21-Mar-98,Copper
656,9355,0.0,Kannika,21-Mar-98,Copper
688,2361,35.0,Boonsri,11-Apr-98,Copper
722,2724,12.0,Boonsri,11-Apr-98,Copper
755,4825,24.0,Kohsoom,16-Apr-98,Copper
789,5185,44.0,Chai,17-Apr-98,Copper
823,5669,37.0,Chai,17-Apr-98,Copper
857,6147,64.0,Chai,17-Apr-98,Copper
891,6509,12.0,Somchair,17-Apr-98,Copper
924,8431,79.0,Kannika,18-Apr-98,Copper
958,8912,28.0,Kannika,18-Apr-98,Copper
992,9395,23.0,Kannika,18-Apr-98,Copper
1026,9884,29.0,Sakda,18-Apr-98,Copper
1059,2403,4.0,Boonsri,9-May-98,Copper
1091,2765,9.0,Boonsri,9-May-98,Copper
1123,5226,0.0,Chai,20-May-98,Copper
1156,5710,0.0,Chai,20-May-98,Copper
1189,6188,0.0,Chai,20-May-98,Copper
1222,8473,10.0,Kannika,26-May-98,Copper
1254,8954,10.0,Kannika,26-May-98,Copper
1286,9437,10.0,Kannika,26-May-98,Copper
1318,2442,11.0,Boonsri,6-Jun-98,Copper
1352,2804,12.0,Boonsri,6-Jun-98,Copper
1386,4867,12.0,Kohsoom,27-Jun-98,Copper
1420,5266,11.0,Chai,28-Jun-98,Copper
1453,5750,10.0,Chai,28-Jun-98,Copper
1486,6228,10.0,Chai,28-Jun-98,Copper
1519,6550,10.0,Somchair,29-Jun-98,Copper
1552,8513,11.0,Kannika,29-Jun-98,Copper
1585,8994,12.0,Kannika,29-Jun-98,Copper
1618,9477,11.0,Kannika,29-Jun-98,Copper
1651,9925,11.0,Sakda,30-Jun-98,Copper
1685,2484,9.0,Boonsri,11-Jul-98,Copper
1717,2846,8.0,Boonsri,11-Jul-98,Copper
1750,5307,0.0,Chai,23-Jul-98,Copper
1782,5791,0.0,Chai,23-Jul-98,Copper
1814,6269,0.0,Chai,23-Jul-98,Copper
1846,8554,10.0,Kannika,26-Jul-98,Copper
1878,9035,10.0,Kannika,26-Jul-98,Copper
1910,9518,10.0,Kannika,26-Jul-98,Copper
1942,2524,41.0,Boonsri,8-Aug-98,Copper
1974,2887,34.0,Boonsri,8-Aug-98,Copper
1992,5328,18.9,Chai,15-Aug-98,Copper
1998,8575,62.2,Kannika,15-Aug-98,Copper
2004,9739,19.7,Sakda,15-Aug-98,Copper
2024,4909,108.0,Kohsoom,22-Aug-98,Copper
2056,5353,1.0,Chai,23-Aug-98,Copper
2088,5831,1.0,Chai,23-Aug-98,Copper
2120,6309,21.0,Chai,23-Aug-98,Copper
2152,6591,1.0,Somchair,24-Aug-98,Copper
2184,8600,1.0,Kannika,25-Aug-98,Copper
2216,9075,1.0,Kannika,25-Aug-98,Copper
2248,9558,1.0,Kannika,25-Aug-98,Copper
2280,9967,34.0,Sakda,26-Aug-98,Copper
2312,2564,6.0,Boonsri,5-Sep-98,Copper
2344,2927,5.0,Boonsri,5-Sep-98,Copper
2376,8640,10.0,Kannika,20-Sep-98,Copper
2408,9115,10.0,Kannika,20-Sep-98,Copper
2440,9598,10.0,Kannika,20-Sep-98,Copper
2472,5393,0.0,Chai,27-Sep-98,Copper
2504,5871,0.0,Chai,27-Sep-98,Copper
2536,6349,0.0,Chai,27-Sep-98,Copper
2568,4949,0.0,Kohsoom,1-Oct-98,Copper
2600,2604,9.0,Boonsri,3-Oct-98,Copper
2632,2967,10.0,Boonsri,3-Oct-98,Copper
2664,8680,26.0,Kannika,23-Oct-98,Copper
2696,9155,23.0,Kannika,23-Oct-98,Copper
2728,9638,23.0,Kannika,23-Oct-98,Copper
2760,9764,31.0,Sakda,24-Oct-98,Copper
2792,10007,29.0,Sakda,24-Oct-98,Copper
2824,10127,23.0,Sakda,24-Oct-98,Copper
2856,6751,19.0,Busarakhan,29-Oct-98,Copper
2888,5433,32.0,Chai,30-Oct-98,Copper
2920,5911,35.0,Chai,30-Oct-98,Copper
2952,6389,33.0,Chai,30-Oct-98,Copper
2984,6631,34.0,Somchair,30-Oct-98,Copper
3016,2644,9.0,Boonsri,7-Nov-98,Copper
3048,3007,14.0,Boonsri,7-Nov-98,Copper
3080,4989,29.0,Kohsoom,14-Nov-98,Copper
3112,8720,20.0,Kannika,20-Nov-98,Copper
3144,9195,20.0,Kannika,20-Nov-98,Copper
3176,9678,20.0,Kannika,20-Nov-98,Copper
3208,9804,23.0,Sakda,20-Nov-98,Copper
3240,10047,24.0,Sakda,20-Nov-98,Copper
3272,10167,20.0,Sakda,20-Nov-98,Copper
3304,5473,21.0,Chai,26-Nov-98,Copper
3336,5951,27.0,Chai,26-Nov-98,Copper
3368,6429,66.0,Chai,26-Nov-98,Copper
3400,6671,33.0,Somchair,28-Nov-98,Copper
3432,6791,33.0,Busarakhan,28-Nov-98,Copper
3464,2684,4.0,Boonsri,5-Dec-98,Copper
3496,3047,10.0,Boonsri,5-Dec-98,Copper
3528,9844,21.0,Sakda,10-Dec-98,Copper
3560,10087,23.0,Sakda,10-Dec-98,Copper
3592,10207,28.0,Sakda,10-Dec-98,Copper
3624,5029,35.0,Kohsoom,13-Dec-98,Copper
3654,8754,27.0,Kannika,17-Dec-98,Copper
3685,9235,21.0,Kannika,17-Dec-98,Copper
3717,9718,30.0,Kannika,17-Dec-98,Copper
3749,5513,23.0,Chai,18-Dec-98,Copper
3781,5991,29.0,Chai,18-Dec-98,Copper
3813,6469,38.0,Chai,18-Dec-98,Copper
3845,6711,20.0,Somchair,19-Dec-98,Copper
3877,6831,21.0,Busarakhan,19-Dec-98,Copper
3929,41746,23.0,Boonsri,9-Jan-99,Copper
3974,45735,55.0,Kohsoom,16-Jan-99,Copper
4001,52453,46.0,Sakda,16-Jan-99,Copper
4028,52874,33.0,Sakda,16-Jan-99,Copper
4055,53635,54.0,Sakda,16-Jan-99,Copper
4082,50878,27.0,Kannika,21-Jan-99,Copper
4109,51295,34.0,Kannika,21-Jan-99,Copper
4137,52052,46.0,Kannika,21-Jan-99,Copper
4164,48099,19.0,Somchair,27-Jan-99,Copper
4195,48867,23.0,Busarakhan,27-Jan-99,Copper
4226,46129,28.0,Chai,30-Jan-99,Copper
4258,46921,36.0,Chai,30-Jan-99,Copper
4290,47325,38.0,Chai,30-Jan-99,Copper
4321,41017,21.0,Boonsri,11-Feb-99,Copper
4350,41776,14.0,Boonsri,11-Feb-99,Copper
4379,42151,32.0,Boonsri,11-Feb-99,Copper
4407,45767,32.0,Kohsoom,13-Feb-99,Copper
4433,46168,19.0,Chai,18-Feb-99,Copper
4465,46959,25.0,Chai,18-Feb-99,Copper
4497,47363,22.0,Chai,18-Feb-99,Copper
4528,48136,57.0,Somchair,20-Feb-99,Copper
4558,48904,19.0,Busarakhan,20-Feb-99,Copper
4588,50911,24.0,Kannika,26-Feb-99,Copper
4617,51329,29.0,Kannika,26-Feb-99,Copper
4646,52085,21.0,Kannika,26-Feb-99,Copper
4673,52486,22.0,Sakda,27-Feb-99,Copper
4703,52906,25.0,Sakda,27-Feb-99,Copper
4733,53668,37.0,Sakda,27-Feb-99,Copper
4761,41052,19.0,Boonsri,11-Mar-99,Copper
4791,41810,29.0,Boonsri,11-Mar-99,Copper
4818,42185,60.0,Boonsri,11-Mar-99,Copper
4845,45797,18.0,Kohsoom,13-Mar-99,Copper
4876,46207,43.0,Chai,17-Mar-99,Copper
4907,46997,22.0,Chai,17-Mar-99,Copper
4937,47401,20.0,Chai,17-Mar-99,Copper
4967,48172,11.0,Somchair,19-Mar-99,Copper
4997,48940,11.0,Busarakhan,19-Mar-99,Copper
5027,50946,19.0,Kannika,24-Mar-99,Copper
5057,51363,15.0,Kannika,24-Mar-99,Copper
5085,52118,15.0,Kannika,24-Mar-99,Copper
5113,52522,13.0,Sakda,25-Mar-99,Copper
5144,52941,13.0,Sakda,25-Mar-99,Copper
5172,53702,15.0,Sakda,25-Mar-99,Copper
5199,41087,26.0,Boonsri,16-Apr-99,Copper
5226,41841,14.0,Boonsri,16-Apr-99,Copper
5252,42217,13.0,Boonsri,16-Apr-99,Copper
5280,45832,12.0,Kohsoom,22-Apr-99,Copper
5307,46244,22.0,Chai,22-Apr-99,Copper
5335,47032,17.0,Chai,22-Apr-99,Copper
5362,47437,20.0,Chai,22-Apr-99,Copper
5389,48206,28.0,Somchair,23-Apr-99,Copper
5415,48975,29.0,Busarakhan,23-Apr-99,Copper
5440,50982,14.0,Kannika,23-Apr-99,Copper
5465,51396,26.0,Kannika,23-Apr-99,Copper
5491,52152,26.0,Kannika,23-Apr-99,Copper
5518,52559,11.0,Sakda,26-Apr-99,Copper
5542,52974,28.0,Sakda,26-Apr-99,Copper
5567,53736,12.0,Sakda,26-Apr-99,Copper
5592,41120,23.0,Boonsri,13-May-99,Copper
5621,41872,21.0,Boonsri,13-May-99,Copper
5649,42251,19.0,Boonsri,13-May-99,Copper
5677,45864,14.0,Kohsoom,15-May-99,Copper
5705,46278,48.0,Chai,20-May-99,Copper
5733,47064,27.0,Chai,20-May-99,Copper
5761,47470,22.0,Chai,20-May-99,Copper
5790,52590,45.08,Sakda,26-May-99,Copper
5822,53005,39.63,Sakda,26-May-99,Copper
5853,53767,24.0,Sakda,26-May-99,Copper
5880,48236,18.0,Somchair,27-May-99,Copper
5907,49005,15.0,Busarakhan,27-May-99,Copper
5935,51013,23.0,Kannika,28-May-99,Copper
5963,51427,26.0,Kannika,28-May-99,Copper
5990,52185,31.0,Kannika,28-May-99,Copper
6018,41155,10.0,Boonsri,6-Jun-99,Copper
6043,41905,12.0,Boonsri,6-Jun-99,Copper
6068,42285,15.0,Boonsri,6-Jun-99,Copper
6092,45897,29.0,Kohsoom,18-Jun-99,Copper
6118,46312,14.0,Chai,19-Jun-99,Copper
6145,47097,20.0,Chai,19-Jun-99,Copper
6171,47504,17.0,Chai,19-Jun-99,Copper
6196,48267,150.0,Somchair,22-Jun-99,Copper
6218,49038,18.0,Busarakhan,22-Jun-99,Copper
6244,51047,15.0,Kannika,23-Jun-99,Copper
6271,51459,13.0,Kannika,23-Jun-99,Copper
6298,52219,14.0,Kannika,23-Jun-99,Copper
6324,52627,11.0,Sakda,25-Jun-99,Copper
6350,53041,11.0,Sakda,25-Jun-99,Copper
6377,53800,13.0,Sakda,25-Jun-99,Copper
6389,45910,43.9,Kohsoom,15-Jul-99,Copper
6396,46326,33.1,Chai,15-Jul-99,Copper
6403,48276,43.6,Somchair,15-Jul-99,Copper
6410,49051,38.3,Busarakhan,15-Jul-99,Copper
6417,51061,39.4,Kannika,15-Jul-99,Copper
6424,52640,46.4,Sakda,15-Jul-99,Copper
6445,41186,8.0,Boonsri,22-Jul-99,Copper
6471,41935,7.0,Boonsri,22-Jul-99,Copper
6497,42315,17.0,Boonsri,22-Jul-99,Copper
6523,46352,15.0,Chai,22-Jul-99,Copper
6549,47128,9.0,Chai,22-Jul-99,Copper
6575,47535,9.0,Chai,22-Jul-99,Copper
6601,45935,20.0,Kohsoom,24-Jul-99,Copper
6626,48301,106.0,Somchair,24-Jul-99,Copper
6652,49076,20.0,Busarakhan,24-Jul-99,Copper
6678,51087,15.0,Kannika,25-Jul-99,Copper
6704,51491,10.0,Kannika,25-Jul-99,Copper
6730,52251,9.0,Kannika,25-Jul-99,Copper
6757,53832,67.67,Sakda,26-Jul-99,Copper
6788,52666,16.0,Sakda,28-Jul-99,Copper
6814,53073,16.0,Sakda,28-Jul-99,Copper
6840,53869,13.0,Sakda,28-Jul-99,Copper
6852,45947,45.9,Kohsoom,15-Aug-99,Copper
6859,46365,46.7,Chai,15-Aug-99,Copper
6866,48314,50.0,Somchair,15-Aug-99,Copper
6873,49089,45.3,Busarakhan,15-Aug-99,Copper
6880,51100,42.1,Kannika,15-Aug-99,Copper
6887,52679,45.4,Sakda,15-Aug-99,Copper
6908,41218,6.0,Boonsri,19-Aug-99,Copper
6933,41966,8.0,Boonsri,19-Aug-99,Copper
6960,45972,17.0,Kohsoom,28-Aug-99,Copper
6985,46391,12.0,Chai,28-Aug-99,Copper
7011,47159,18.0,Chai,28-Aug-99,Copper
7037,47567,11.0,Chai,28-Aug-99,Copper
7063,48339,57.0,Somchair,29-Aug-99,Copper
7088,49114,18.0,Busarakhan,30-Aug-99,Copper
7113,51126,16.0,Kannika,30-Aug-99,Copper
7139,51522,10.0,Kannika,30-Aug-99,Copper
7165,52283,14.0,Kannika,30-Aug-99,Copper
7191,52705,13.0,Sakda,31-Aug-99,Copper
7217,53104,13.0,Sakda,31-Aug-99,Copper
7243,53901,11.0,Sakda,31-Aug-99,Copper
7269,41249,5.0,Boonsri,16-Sep-99,Copper
7298,41996,5.0,Boonsri,16-Sep-99,Copper
7329,46423,15.0,Chai,16-Sep-99,Copper
7355,47190,13.0,Chai,16-Sep-99,Copper
7381,47599,17.0,Chai,16-Sep-99,Copper
7407,46002,23.0,Kohsoom,18-Sep-99,Copper
7433,48369,20.0,Somchair,18-Sep-99,Copper
7459,49144,20.0,Busarakhan,18-Sep-99,Copper
7485,51158,13.0,Kannika,19-Sep-99,Copper
7511,51553,17.0,Kannika,19-Sep-99,Copper
7537,52315,13.0,Kannika,19-Sep-99,Copper
7563,52737,15.0,Sakda,21-Sep-99,Copper
7589,53135,19.0,Sakda,21-Sep-99,Copper
7615,53933,17.0,Sakda,21-Sep-99,Copper
7641,41284,15.0,Boonsri,10-Oct-99,Copper
7669,42030,16.0,Boonsri,10-Oct-99,Copper
7699,46033,8.0,Kohsoom,20-Oct-99,Copper
7727,46455,17.0,Chai,21-Oct-99,Copper
7753,47221,17.0,Chai,21-Oct-99,Copper
7782,47631,21.0,Chai,21-Oct-99,Copper
7809,48400,19.0,Somchair,21-Oct-99,Copper
7837,49175,17.0,Busarakhan,22-Oct-99,Copper
7865,51190,20.0,Kannika,22-Oct-99,Copper
7894,51584,19.0,Kannika,22-Oct-99,Copper
7923,52347,25.0,Kannika,22-Oct-99,Copper
7952,52769,19.0,Sakda,23-Oct-99,Copper
7981,53166,17.0,Sakda,23-Oct-99,Copper
8010,53965,10.0,Sakda,23-Oct-99,Copper
8039,41318,24.0,Boonsri,5-Nov-99,Copper
8065,42063,22.0,Boonsri,5-Nov-99,Copper
8093,46066,34.0,Kohsoom,7-Nov-99,Copper
8118,46487,35.0,Chai,18-Nov-99,Copper
8147,47255,30.0,Chai,18-Nov-99,Copper
8176,47664,37.0,Chai,18-Nov-99,Copper
8205,48433,71.0,Somchair,20-Nov-99,Copper
8234,49208,43.0,Busarakhan,20-Nov-99,Copper
8263,51225,28.0,Kannika,26-Nov-99,Copper
8292,51618,27.0,Kannika,26-Nov-99,Copper
8321,52382,35.0,Kannika,26-Nov-99,Copper
8350,52804,30.0,Sakda,26-Nov-99,Copper
8379,53200,39.0,Sakda,26-Nov-99,Copper
8408,54000,42.0,Sakda,26-Nov-99,Copper
8437,41350,25.0,Boonsri,9-Dec-99,Copper
8462,42094,23.0,Boonsri,9-Dec-99,Copper
