,id,value,location,sample date,measure
18,2243,0.0,Boonsri,11-Jan-98,Lead
50,8313,0.0,Kannika,26-Jan-98,Lead
82,8794,0.0,Kannika,26-Jan-98,Lead
114,9277,0.0,Kannika,26-Jan-98,Lead
146,5070,0.0,Chai,31-Jan-98,Lead
178,5554,0.0,Chai,31-Jan-98,Lead
210,6032,0.0,Chai,31-Jan-98,Lead
242,2283,0.0,Boonsri,15-Feb-98,Lead
274,5109,0.0,Chai,20-Feb-98,Lead
306,5593,0.0,Chai,20-Feb-98,Lead
338,6071,0.0,Chai,20-Feb-98,Lead
370,8353,0.0,Kannika,24-Feb-98,Lead
402,8834,0.0,Kannika,24-Feb-98,Lead
434,9317,0.0,Kannika,24-Feb-98,Lead
466,2323,0.0,Boonsri,12-Mar-98,Lead
498,5148,0.0,Chai,19-Mar-98,Lead
530,5632,0.0,Chai,19-Mar-98,Lead
562,6110,0.0,Chai,19-Mar-98,Lead
594,8393,10.0,Kannika,21-Mar-98,Lead
626,8874,10.0,Kannika,21-Mar-98,Lead
658,9357,10.0,Kannika,21-Mar-98,Lead
690,2363,20.0,Boonsri,11-Apr-98,Lead
724,2726,35.0,Boonsri,11-Apr-98,Lead
757,4827,90.0,Kohsoom,16-Apr-98,Lead
791,5187,30.0,Chai,17-Apr-98,Lead
825,5671,41.0,Chai,17-Apr-98,Lead
859,6149,55.0,Chai,17-Apr-98,Lead
893,6511,41.0,Somchair,17-Apr-98,Lead
926,8433,20.0,Kannika,18-Apr-98,Lead
960,8914,20.0,Kannika,18-Apr-98,Lead
994,9397,10.0,Kannika,18-Apr-98,Lead
1028,9886,15.0,Sakda,18-Apr-98,Lead
1061,2405,0.0,Boonsri,9-May-98,Lead
1093,2767,0.0,Boonsri,9-May-98,Lead
1125,5228,0.0,Chai,20-May-98,Lead
1158,5712,0.0,Chai,20-May-98,Lead
1191,6190,0.0,Chai,20-May-98,Lead
1224,8475,0.0,Kannika,26-May-98,Lead
1256,8956,0.0,Kannika,26-May-98,Lead
1288,9439,0.0,Kannika,26-May-98,Lead
1320,2444,1.0,Boonsri,6-Jun-98,Lead
1354,2806,4.0,Boonsri,6-Jun-98,Lead
1388,4869,34.0,Kohsoom,27-Jun-98,Lead
1422,5268,20.0,Chai,28-Jun-98,Lead
1455,5752,11.0,Chai,28-Jun-98,Lead
1488,6230,1.0,Chai,28-Jun-98,Lead
1521,6552,10.0,Somchair,29-Jun-98,Lead
1554,8515,10.0,Kannika,29-Jun-98,Lead
1587,8996,10.0,Kannika,29-Jun-98,Lead
1620,9479,10.0,Kannika,29-Jun-98,Lead
1653,9927,1.0,Sakda,30-Jun-98,Lead
1687,2486,0.0,Boonsri,11-Jul-98,Lead
1719,2848,0.0,Boonsri,11-Jul-98,Lead
1752,5309,0.0,Chai,23-Jul-98,Lead
1784,5793,0.0,Chai,23-Jul-98,Lead
1816,6271,0.0,Chai,23-Jul-98,Lead
1848,8556,0.0,Kannika,26-Jul-98,Lead
1880,9037,0.0,Kannika,26-Jul-98,Lead
1912,9520,0.0,Kannika,26-Jul-98,Lead
1944,2526,4.0,Boonsri,8-Aug-98,Lead
1976,2889,3.0,Boonsri,8-Aug-98,Lead
1994,5330,32.89,Chai,15-Aug-98,Lead
2000,8577,22.25,Kannika,15-Aug-98,Lead
2006,9741,23.36,Sakda,15-Aug-98,Lead
2026,4911,52.0,Kohsoom,22-Aug-98,Lead
2058,5355,11.0,Chai,23-Aug-98,Lead
2090,5833,16.0,Chai,23-Aug-98,Lead
2122,6311,7.0,Chai,23-Aug-98,Lead
2154,6593,15.0,Somchair,24-Aug-98,Lead
2186,8602,20.0,Kannika,25-Aug-98,Lead
2218,9077,20.0,Kannika,25-Aug-98,Lead
2250,9560,20.0,Kannika,25-Aug-98,Lead
2282,9969,18.0,Sakda,26-Aug-98,Lead
2314,2566,0.0,Boonsri,5-Sep-98,Lead
2346,2929,0.0,Boonsri,5-Sep-98,Lead
2378,8642,0.0,Kannika,20-Sep-98,Lead
2410,9117,0.0,Kannika,20-Sep-98,Lead
2442,9600,0.0,Kannika,20-Sep-98,Lead
2474,5395,0.0,Chai,27-Sep-98,Lead
2506,5873,0.0,Chai,27-Sep-98,Lead
2538,6351,0.0,Chai,27-Sep-98,Lead
2570,4951,0.0,Kohsoom,1-Oct-98,Lead
2602,2606,5.0,Boonsri,3-Oct-98,Lead
2634,2969,12.0,Boonsri,3-Oct-98,Lead
2666,8682,83.0,Kannika,23-Oct-98,Lead
2698,9157,33.0,Kannika,23-Oct-98,Lead
2730,9640,30.0,Kannika,23-Oct-98,Lead
2762,9766,50.0,Sakda,24-Oct-98,Lead
2794,10009,52.0,Sakda,24-Oct-98,Lead
2826,10129,45.0,Sakda,24-Oct-98,Lead
2858,6753,48.0,Busarakhan,29-Oct-98,Lead
2890,5435,42.0,Chai,30-Oct-98,Lead
2922,5913,62.0,Chai,30-Oct-98,Lead
2954,6391,53.0,Chai,30-Oct-98,Lead
2986,6633,48.0,Somchair,30-Oct-98,Lead
3018,2646,0.0,Boonsri,7-Nov-98,Lead
3050,3009,0.0,Boonsri,7-Nov-98,Lead
3082,4991,92.0,Kohsoom,14-Nov-98,Lead
3114,8722,40.0,Kannika,20-Nov-98,Lead
3146,9197,30.0,Kannika,20-Nov-98,Lead
3178,9680,30.0,Kannika,20-Nov-98,Lead
3210,9806,17.0,Sakda,20-Nov-98,Lead
3242,10049,15.0,Sakda,20-Nov-98,Lead
3274,10169,14.0,Sakda,20-Nov-98,Lead
3306,5475,14.0,Chai,26-Nov-98,Lead
3338,5953,14.0,Chai,26-Nov-98,Lead
3370,6431,15.0,Chai,26-Nov-98,Lead
3402,6673,23.0,Somchair,28-Nov-98,Lead
3434,6793,49.0,Busarakhan,28-Nov-98,Lead
3466,2686,0.0,Boonsri,5-Dec-98,Lead
3498,3049,0.0,Boonsri,5-Dec-98,Lead
3530,9846,1.0,Sakda,10-Dec-98,Lead
3562,10089,12.0,Sakda,10-Dec-98,Lead
3594,10209,8.0,Sakda,10-Dec-98,Lead
3626,5031,40.0,Kohsoom,13-Dec-98,Lead
3656,8756,20.0,Kannika,17-Dec-98,Lead
3687,9237,10.0,Kannika,17-Dec-98,Lead
3719,9720,30.0,Kannika,17-Dec-98,Lead
3751,5515,1.0,Chai,18-Dec-98,Lead
3783,5993,1.0,Chai,18-Dec-98,Lead
3815,6471,2.0,Chai,18-Dec-98,Lead
3847,6713,1.0,Somchair,19-Dec-98,Lead
3879,6833,1.0,Busarakhan,19-Dec-98,Lead
3931,41748,3.0,Boonsri,9-Jan-99,Lead
3976,45737,2.0,Kohsoom,16-Jan-99,Lead
4003,52455,26.0,Sakda,16-Jan-99,Lead
4030,52876,10.0,Sakda,16-Jan-99,Lead
4057,53637,19.0,Sakda,16-Jan-99,Lead
4084,50880,41.0,Kannika,21-Jan-99,Lead
4111,51297,13.0,Kannika,21-Jan-99,Lead
4139,52054,43.0,Kannika,21-Jan-99,Lead
4166,48101,34.0,Somchair,27-Jan-99,Lead
4197,48869,14.0,Busarakhan,27-Jan-99,Lead
4228,46131,20.0,Chai,30-Jan-99,Lead
4260,46923,38.0,Chai,30-Jan-99,Lead
4292,47327,38.0,Chai,30-Jan-99,Lead
4323,41019,21.0,Boonsri,11-Feb-99,Lead
4352,41778,63.0,Boonsri,11-Feb-99,Lead
4381,42153,18.0,Boonsri,11-Feb-99,Lead
4409,45769,18.0,Kohsoom,13-Feb-99,Lead
4435,46170,13.0,Chai,18-Feb-99,Lead
