,id,value,location,sample date,measure
20,2245,0.0,Boonsri,11-Jan-98,Mercury
52,8315,0.0,Kannika,26-Jan-98,Mercury
84,8796,0.0,Kannika,26-Jan-98,Mercury
116,9279,0.0,Kannika,26-Jan-98,Mercury
148,5072,0.0,Chai,31-Jan-98,Mercury
180,5556,0.0,Chai,31-Jan-98,Mercury
212,6034,0.0,Chai,31-Jan-98,Mercury
244,2285,0.0,Boonsri,15-Feb-98,Mercury
276,5111,0.0,Chai,20-Feb-98,Mercury
308,5595,0.0,Chai,20-Feb-98,Mercury
340,6073,0.0,Chai,20-Feb-98,Mercury
372,8355,0.0,Kannika,24-Feb-98,Mercury
404,8836,0.0,Kannika,24-Feb-98,Mercury
436,9319,0.0,Kannika,24-Feb-98,Mercury
468,2325,0.0,Boonsri,12-Mar-98,Mercury
500,5150,0.0,Chai,19-Mar-98,Mercury
532,5634,0.0,Chai,19-Mar-98,Mercury
564,6112,0.0,Chai,19-Mar-98,Mercury
596,8395,0.0,Kannika,21-Mar-98,Mercury
628,8876,0.0,Kannika,21-Mar-98,Mercury
660,9359,0.0,Kannika,21-Mar-98,Mercury
692,2365,0.0,Boonsri,11-Apr-98,Mercury
726,2728,0.0,Boonsri,11-Apr-98,Mercury
759,4829,0.0,Kohsoom,16-Apr-98,Mercury
793,5189,0.0,Chai,17-Apr-98,Mercury
827,5673,0.0,Chai,17-Apr-98,Mercury
861,6151,0.0,Chai,17-Apr-98,Mercury
895,6513,0.0,Somchair,17-Apr-98,Mercury
928,8435,0.0,Kannika,18-Apr-98,Mercury
962,8916,0.0,Kannika,18-Apr-98,Mercury
996,9399,0.0,Kannika,18-Apr-98,Mercury
1030,9888,0.0,Sakda,18-Apr-98,Mercury
1063,2407,0.0,Boonsri,9-May-98,Mercury
1095,2769,0.0,Boonsri,9-May-98,Mercury
1127,5230,0.0,Chai,20-May-98,Mercury
1160,5714,0.0,Chai,20-May-98,Mercury
1193,6192,0.0,Chai,20-May-98,Mercury
1226,8477,0.0,Kannika,26-May-98,Mercury
1258,8958,0.0,Kannika,26-May-98,Mercury
1290,9441,0.0,Kannika,26-May-98,Mercury
1322,2446,0.0,Boonsri,6-Jun-98,Mercury
1356,2808,0.0,Boonsri,6-Jun-98,Mercury
1390,4871,0.0,Kohsoom,27-Jun-98,Mercury
1424,5270,0.0,Chai,28-Jun-98,Mercury
1457,5754,0.0,Chai,28-Jun-98,Mercury
1490,6232,0.0,Chai,28-Jun-98,Mercury
1523,6554,0.0,Somchair,29-Jun-98,Mercury
1556,8517,0.0,Kannika,29-Jun-98,Mercury
1589,8998,0.0,Kannika,29-Jun-98,Mercury
1622,9481,0.0,Kannika,29-Jun-98,Mercury
1655,9929,0.0,Sakda,30-Jun-98,Mercury
1689,2488,0.0,Boonsri,11-Jul-98,Mercury
1721,2850,0.0,Boonsri,11-Jul-98,Mercury
1754,5311,0.0,Chai,23-Jul-98,Mercury
1786,5795,0.0,Chai,23-Jul-98,Mercury
1818,6273,0.0,Chai,23-Jul-98,Mercury
1850,8558,0.0,Kannika,26-Jul-98,Mercury
1882,9039,0.0,Kannika,26-Jul-98,Mercury
1914,9522,0.0,Kannika,26-Jul-98,Mercury
1946,2528,0.0,Boonsri,8-Aug-98,Mercury
1978,2891,0.0,Boonsri,8-Aug-98,Mercury
2028,4913,0.0,Kohsoom,22-Aug-98,Mercury
2060,5357,0.0,Chai,23-Aug-98,Mercury
2092,5835,0.0,Chai,23-Aug-98,Mercury
2124,6313,0.0,Chai,23-Aug-98,Mercury
2156,6595,0.0,Somchair,24-Aug-98,Mercury
2188,8604,0.0,Kannika,25-Aug-98,Mercury
2220,9079,0.0,Kannika,25-Aug-98,Mercury
2252,9562,0.0,Kannika,25-Aug-98,Mercury
2284,9971,0.0,Sakda,26-Aug-98,Mercury
2316,2568,0.0,Boonsri,5-Sep-98,Mercury
2348,2931,0.0,Boonsri,5-Sep-98,Mercury
2380,8644,0.0,Kannika,20-Sep-98,Mercury
2412,9119,0.0,Kannika,20-Sep-98,Mercury
2444,9602,0.0,Kannika,20-Sep-98,Mercury
2476,5397,0.0,Chai,27-Sep-98,Mercury
2508,5875,0.0,Chai,27-Sep-98,Mercury
2540,6353,0.0,Chai,27-Sep-98,Mercury
2572,4953,0.0,Kohsoom,1-Oct-98,Mercury
