location,Year,value,scaled_df,severity,latitude,longitude
Kohsoom,1998,3955.232,0.256403686,Low,32.94,117.23
Kannika,1998,11503.09893,0.980575104,Very High,32.74,117.18
Chai,1998,11705.56001,1,Very High,33.48,117.14
Boonsri,1998,5061.511,0.362544353,Medium,32.95,117.25
Sakda,1998,4296.8652,0.289181291,Low,32.88,117.16
Busarakhan,1998,1282.7972,0,Very Low,32.93,117.26
Somchair,1998,3620.944,0.224330808,Low,32.88,117.17
Sakda,1999,16588.3935,1,Very High,32.92,117.21
Chai,1999,15818.6332,0.909987605,Very High,32.8,117.16
Busarakhan,1999,9121.571,0.126862514,Low,32.83,117.16
Somchair,1999,8036.679,0,Very Low,32.75,117.13
Kannika,1999,15299.1751,0.849244453,Very High,0,0
Boonsri,1999,11293.7751,0.380870538,Medium,0,0
Kohsoom,1999,9059.1342,0.119561428,Low,0,0
Kohsoom,2000,10301.833,0,Very Low,0,0
Boonsri,2000,17951.501,0.644863816,High,0,0
Sakda,2000,19755.806,0.796965974,High,0,0
Kannika,2000,19432.46,0.769708041,High,0,0
Chai,2000,22164.288,1,Very High,0,0
Busarakhan,2000,10350.58,0.004109352,Very Low,0,0
Somchair,2000,10512.716,0.017777349,Very Low,0,0
Chai,2001,14684.444,0.790817917,High,0,0
Busarakhan,2001,6493.154,0.038819238,Very Low,0,0
Kohsoom,2001,8025.117,0.179460596,Low,0,0
Sakda,2001,16246.693,0.934239672,Very High,0,0
Boonsri,2001,15014.02,0.821074533,High,0,0
Kannika,2001,16963,1,Very High,0,0
Somchair,2001,6070.308,0,Very Low,0,0
Sakda,2002,15136.051,0.470180781,Medium,0,0
Busarakhan,2002,8336.869,0.114977195,Low,0,0
Kohsoom,2002,8628.34,0.130204254,Low,0,0
Chai,2002,25277.664,1,Very High,0,0
Kannika,2002,15167.8115,0.471840016,Medium,0,0
Boonsri,2002,23530.861,0.908743333,Very High,0,0
Somchair,2002,6136.016,0,Very Low,0,0
Busarakhan,2003,29120.881,0.078774634,Low,0,0
Boonsri,2003,24467.351,0,Very Low,0,0
Sakda,2003,44160.488,0.333364063,Medium,0,0
Kohsoom,2003,51408.313,0.456054744,Medium,0,0
Chai,2003,68173.9743,0.739862701,High,0,0
Kannika,2003,83541.316,1,Very High,0,0
Somchair,2003,32281.045,0.132269672,Low,0,0
Boonsri,2004,29231.1314,1,Very High,0,0
Kohsoom,2004,8876.804,0.139222059,Low,0,0
Somchair,2004,5584.699,0,Very Low,0,0
Busarakhan,2004,6276.578,0.02925934,Very Low,0,0
Kannika,2004,12782.119,0.304376571,Medium,0,0
Chai,2004,20413.015,0.627084701,High,0,0
Sakda,2004,15381.514,0.414304147,Medium,0,0
Chai,2005,46737.3874,0.709243131,High,0,0
Kohsoom,2005,18601.02309,0.081617447,Low,0,0
Sakda,2005,39149.10089,0.539974513,High,0,0
Somchair,2005,15228.97449,0.006398621,Very Low,0,0
Boonsri,2005,59771.97379,1,Very High,0,0
Kannika,2005,33147.75301,0.406105047,Medium,0,0
Busarakhan,2005,14942.12528,0,Very Low,0,0
Sakda,2006,34330.9138,0.466740938,Medium,0,0
Somchair,2006,14835.8626,0.020292053,Very Low,0,0
Boonsri,2006,57616.6987,1,Very High,0,0
Busarakhan,2006,15152.4031,0.027541028,Very Low,0,0
Kohsoom,2006,13949.771,0,Very Low,0,0
Kannika,2006,34425.8307,0.468914595,Medium,0,0
Chai,2006,53249.882,0.899997162,Very High,0,0
Busarakhan,2007,15253.5995,0,Very Low,0,0
Boonsri,2007,47188.8982,0.946499637,Very High,0,0
Chai,2007,48994.0231,1,Very High,0,0
Kohsoom,2007,15282.992,0.000871136,Very Low,0,0
Sakda,2007,35245.35665,0.592516484,High,0,0
