Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Arsenic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Arsenic,0.0,0.2,2.2,0.1,0.0,0.0,0.8,0.6,0.0,0.0
2008,Arsenic,0.0,8.6,4.2,6.7,0.0,8.5,1.1,10.2,4.7,0.0
2009,Arsenic,6.6,0.0,9.3,28.3,3.0,27.3,0.0,25.2,11.3,0.0
2010,Arsenic,12.1,21.1,12.0,32.7,0.0,34.9,31.0,35.8,14.2,0.0
2011,Arsenic,21.7,0.0,17.0,33.4,3.0,45.8,28.5,42.2,19.4,2.3
2012,Arsenic,4.3,0.0,3.5,9.2,0.0,14.7,17.8,9.6,3.4,0.0
2013,Arsenic,4.2,0.0,0.0,6.5,0.0,0.0,18.1,0.0,0.0,0.0
2014,Arsenic,0.0,25.2,7.3,13.7,12.8,33.4,17.7,31.2,8.5,0.0
2015,Arsenic,0.0,0.0,0.0,0.0,10.3,22.7,0.0,27.3,0.0,44.7
2016,Arsenic,0.0,0.0,1.8,0.0,7.8,80.0,0.0,78.9,0.0,0.0
