Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Cadmium,0.0,4.0,0.9,10.9,0.0,14.2,52.5,3.5,7.5,0.0
1999,Cadmium,0.0,101.0,50.9,61.6,0.0,85.1,51.3,127.8,26.3,0.0
2000,Cadmium,0.0,50.2,68.7,54.8,0.0,46.3,25.3,46.4,23.8,0.0
2001,Cadmium,0.0,68.5,19.4,68.6,0.0,129.9,45.7,129.9,30.2,0.0
2002,Cadmium,0.0,26.5,9.8,54.4,0.0,28.1,8.8,26.7,7.5,0.0
2003,Cadmium,0.0,71.6,4.4,81.7,0.0,80.4,16.5,86.4,10.8,0.0
2004,Cadmium,0.0,170.9,5.1,51.4,0.0,11.9,8.1,12.8,10.0,0.0
2005,Cadmium,0.0,373.4,18.9,60.2,0.0,7.1,8.0,7.9,25.4,0.0
2006,Cadmium,0.0,146.1,4.8,33.4,0.0,11.3,2.9,8.0,6.3,0.0
2007,Cadmium,0.0,288.9,9.7,37.6,0.0,9.3,4.4,10.4,14.2,0.0
2008,Cadmium,0.0,0.0,8.2,26.7,0.0,17.0,0.0,14.7,12.5,0.0
2009,Cadmium,2.4,0.0,7.2,20.2,1.2,33.6,0.0,23.4,45.2,0.0
2010,Cadmium,3.2,62.2,4.7,8.9,3.7,7.1,2.2,8.0,3.5,2.0
2011,Cadmium,3.0,49.7,1.3,3.2,9.0,2.0,8.4,3.0,1.0,0.2
2012,Cadmium,3.0,13.6,0.1,0.1,8.3,0.4,1.3,0.1,0.1,0.0
2013,Cadmium,0.0,2.9,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2014,Cadmium,0.0,1.9,0.0,0.0,0.6,0.5,0.0,0.6,0.0,0.0
2015,Cadmium,0.0,0.0,0.0,0.0,1.8,0.5,0.0,0.2,0.0,0.0
2016,Cadmium,0.0,0.0,6.4,1.7,0.0,1.6,0.0,2.5,10.9,0.0
