Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Ammonium,0.0,3.6,1.5,15.3,0.0,8.0,17.8,2.3,6.7,0.0
1999,Ammonium,0.0,9.1,8.4,12.2,0.0,15.0,19.1,15.9,16.7,0.0
2000,Ammonium,0.0,13.7,13.8,15.8,0.0,18.9,23.6,17.7,13.9,0.0
2001,Ammonium,0.0,6.8,3.6,9.2,0.0,12.0,20.1,10.5,3.6,0.0
2002,Ammonium,0.0,28.4,6.4,21.9,0.0,10.0,34.2,9.1,5.5,0.0
2003,Ammonium,0.0,18.3,7.4,30.3,0.0,13.2,25.3,15.8,9.1,0.0
2004,Ammonium,0.0,16.7,5.3,24.9,0.0,7.3,21.3,11.8,4.5,0.0
2005,Ammonium,0.0,17.1,4.9,19.1,0.0,8.8,42.2,12.8,6.0,0.0
2006,Ammonium,0.0,19.1,11.7,31.6,0.0,19.7,20.8,16.6,10.2,0.0
2007,Ammonium,0.0,20.4,8.0,31.4,0.0,7.6,14.5,8.1,9.7,0.0
2008,Ammonium,0.0,14.6,6.0,21.8,0.0,7.9,37.4,11.0,6.3,0.0
2009,Ammonium,2.0,16.6,2.8,12.5,1.7,6.8,52.4,6.0,3.7,7.5
2010,Ammonium,3.2,12.0,2.6,14.2,7.8,5.4,41.4,7.5,4.0,26.8
2011,Ammonium,2.0,6.1,4.0,16.7,1.6,10.1,34.9,8.5,3.1,6.3
2012,Ammonium,3.4,3.0,4.1,16.2,2.2,4.7,26.2,4.8,4.6,17.9
2013,Ammonium,0.9,3.0,3.6,9.7,4.1,4.0,30.8,4.5,5.2,15.7
2014,Ammonium,1.5,5.3,4.8,6.1,9.6,6.7,46.6,6.9,7.2,81.2
2015,Ammonium,1.6,4.5,3.1,4.7,8.1,5.7,28.9,6.0,8.2,12.7
2016,Ammonium,1.1,3.8,2.6,5.0,3.5,3.2,16.7,3.2,3.6,12.7
