Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Chromium,0.0,225.0,50.0,211.4,0.0,559.2,95.0,258.8,128.0,0.0
1999,Chromium,0.0,255.0,208.9,376.2,0.0,421.2,286.3,474.0,212.0,0.0
2000,Chromium,0.0,384.5,227.1,600.0,0.0,645.7,270.0,620.4,247.2,0.0
2001,Chromium,0.0,381.2,112.4,428.8,0.0,585.5,274.8,529.0,151.8,0.0
2002,Chromium,0.0,262.1,105.6,388.4,0.0,301.1,154.2,189.6,130.7,0.0
2003,Chromium,0.0,117.8,53.8,206.6,0.0,202.4,184.6,97.8,45.9,0.0
2004,Chromium,0.0,196.6,32.6,247.4,0.0,62.5,42.4,126.4,30.9,0.0
2005,Chromium,0.0,109.3,36.2,183.3,0.0,135.2,68.6,87.9,51.9,0.0
2006,Chromium,0.0,144.6,13.9,210.0,0.0,81.7,40.4,77.9,33.9,0.0
2007,Chromium,0.0,153.0,51.5,298.2,0.0,89.7,98.7,103.1,56.1,0.0
2008,Chromium,0.0,0.0,23.4,70.2,0.0,53.6,0.0,70.6,37.0,0.0
2009,Chromium,6.8,0.0,68.5,116.7,146.0,120.4,0.0,121.2,105.3,4.1
2010,Chromium,6.9,269.8,91.4,173.9,151.0,122.7,62.9,143.9,94.5,13.4
2011,Chromium,1.1,95.1,43.1,78.8,201.0,101.0,55.5,112.3,48.6,3.6
2012,Chromium,3.4,29.3,5.8,10.0,237.0,16.2,144.7,13.0,5.6,0.0
2013,Chromium,0.0,10.9,0.0,11.2,28.5,0.0,35.4,0.0,0.0,0.0
2014,Chromium,0.0,27.8,9.0,18.8,2.4,21.9,19.5,10.7,14.8,0.0
2015,Chromium,0.0,0.0,0.0,0.0,3.2,65.6,0.0,53.5,0.0,0.0
2016,Chromium,0.0,0.0,0.0,0.0,0.0,79.4,0.0,58.7,0.0,0.0
