,id,value,location,sample_date,measure,Month,Day,MonthName,Year,year
18,2243,0.0,Boonsri,1998-01-11,Lead,1,1,January,1998,1998
50,8313,0.0,Kannika,1998-01-26,Lead,1,1,January,1998,1998
82,8794,0.0,Kannika,1998-01-26,Lead,1,1,January,1998,1998
114,9277,0.0,Kannika,1998-01-26,Lead,1,1,January,1998,1998
146,5070,0.0,Chai,1998-01-31,Lead,1,1,January,1998,1998
178,5554,0.0,Chai,1998-01-31,Lead,1,1,January,1998,1998
210,6032,0.0,Chai,1998-01-31,Lead,1,1,January,1998,1998
242,2283,0.0,Boonsri,1998-02-15,Lead,1,1,February,1998,1998
274,5109,0.0,Chai,1998-02-20,Lead,1,1,February,1998,1998
306,5593,0.0,Chai,1998-02-20,Lead,1,1,February,1998,1998
338,6071,0.0,Chai,1998-02-20,Lead,1,1,February,1998,1998
370,8353,0.0,Kannika,1998-02-24,Lead,1,1,February,1998,1998
402,8834,0.0,Kannika,1998-02-24,Lead,1,1,February,1998,1998
434,9317,0.0,Kannika,1998-02-24,Lead,1,1,February,1998,1998
466,2323,0.0,Boonsri,1998-03-12,Lead,1,1,March,1998,1998
498,5148,0.0,Chai,1998-03-19,Lead,1,1,March,1998,1998
530,5632,0.0,Chai,1998-03-19,Lead,1,1,March,1998,1998
562,6110,0.0,Chai,1998-03-19,Lead,1,1,March,1998,1998
594,8393,10.0,Kannika,1998-03-21,Lead,1,1,March,1998,1998
626,8874,10.0,Kannika,1998-03-21,Lead,1,1,March,1998,1998
658,9357,10.0,Kannika,1998-03-21,Lead,1,1,March,1998,1998
690,2363,20.0,Boonsri,1998-04-11,Lead,1,1,April,1998,1998
724,2726,35.0,Boonsri,1998-04-11,Lead,1,1,April,1998,1998
757,4827,90.0,Kohsoom,1998-04-16,Lead,1,1,April,1998,1998
791,5187,30.0,Chai,1998-04-17,Lead,1,1,April,1998,1998
825,5671,41.0,Chai,1998-04-17,Lead,1,1,April,1998,1998
859,6149,55.0,Chai,1998-04-17,Lead,1,1,April,1998,1998
893,6511,41.0,Somchair,1998-04-17,Lead,1,1,April,1998,1998
926,8433,20.0,Kannika,1998-04-18,Lead,1,1,April,1998,1998
960,8914,20.0,Kannika,1998-04-18,Lead,1,1,April,1998,1998
994,9397,10.0,Kannika,1998-04-18,Lead,1,1,April,1998,1998
1028,9886,15.0,Sakda,1998-04-18,Lead,1,1,April,1998,1998
1061,2405,0.0,Boonsri,1998-05-09,Lead,1,1,May,1998,1998
1093,2767,0.0,Boonsri,1998-05-09,Lead,1,1,May,1998,1998
1125,5228,0.0,Chai,1998-05-20,Lead,1,1,May,1998,1998
1158,5712,0.0,Chai,1998-05-20,Lead,1,1,May,1998,1998
1191,6190,0.0,Chai,1998-05-20,Lead,1,2,May,1998,1998
1224,8475,0.0,Kannika,1998-05-26,Lead,1,2,May,1998,1998
1256,8956,0.0,Kannika,1998-05-26,Lead,1,2,May,1998,1998
1288,9439,0.0,Kannika,1998-05-26,Lead,1,2,May,1998,1998
1320,2444,1.0,Boonsri,1998-06-06,Lead,1,2,June,1998,1998
1354,2806,4.0,Boonsri,1998-06-06,Lead,1,2,June,1998,1998
1388,4869,34.0,Kohsoom,1998-06-27,Lead,1,2,June,1998,1998
1422,5268,20.0,Chai,1998-06-28,Lead,1,2,June,1998,1998
1455,5752,11.0,Chai,1998-06-28,Lead,1,2,June,1998,1998
1488,6230,1.0,Chai,1998-06-28,Lead,1,2,June,1998,1998
