id,value,location,sample_date,measure,Month,Day,MonthName,Year,year
2243,0.0,Boonsri,1998-01-11,Lead,1,1,January,1998,1998
8313,0.0,Kannika,1998-01-26,Lead,1,1,January,1998,1998
8794,0.0,Kannika,1998-01-26,Lead,1,1,January,1998,1998
9277,0.0,Kannika,1998-01-26,Lead,1,1,January,1998,1998
5070,0.0,Chai,1998-01-31,Lead,1,1,January,1998,1998
5554,0.0,Chai,1998-01-31,Lead,1,1,January,1998,1998
6032,0.0,Chai,1998-01-31,Lead,1,1,January,1998,1998
2283,0.0,Boonsri,1998-02-15,Lead,1,1,February,1998,1998
5109,0.0,Chai,1998-02-20,Lead,1,1,February,1998,1998
5593,0.0,Chai,1998-02-20,Lead,1,1,February,1998,1998
6071,0.0,Chai,1998-02-20,Lead,1,1,February,1998,1998
8353,0.0,Kannika,1998-02-24,Lead,1,1,February,1998,1998
8834,0.0,Kannika,1998-02-24,Lead,1,1,February,1998,1998
9317,0.0,Kannika,1998-02-24,Lead,1,1,February,1998,1998
2323,0.0,Boonsri,1998-03-12,Lead,1,1,March,1998,1998
5148,0.0,Chai,1998-03-19,Lead,1,1,March,1998,1998
5632,0.0,Chai,1998-03-19,Lead,1,1,March,1998,1998
6110,0.0,Chai,1998-03-19,Lead,1,1,March,1998,1998
8393,10.0,Kannika,1998-03-21,Lead,1,1,March,1998,1998
8874,10.0,Kannika,1998-03-21,Lead,1,1,March,1998,1998
9357,10.0,Kannika,1998-03-21,Lead,1,1,March,1998,1998
2363,20.0,Boonsri,1998-04-11,Lead,1,1,April,1998,1998
2726,35.0,Boonsri,1998-04-11,Lead,1,1,April,1998,1998
4827,90.0,Kohsoom,1998-04-16,Lead,1,1,April,1998,1998
5187,30.0,Chai,1998-04-17,Lead,1,1,April,1998,1998
5671,41.0,Chai,1998-04-17,Lead,1,1,April,1998,1998
6149,55.0,Chai,1998-04-17,Lead,1,1,April,1998,1998
6511,41.0,Somchair,1998-04-17,Lead,1,1,April,1998,1998
8433,20.0,Kannika,1998-04-18,Lead,1,1,April,1998,1998
8914,20.0,Kannika,1998-04-18,Lead,1,1,April,1998,1998
9397,10.0,Kannika,1998-04-18,Lead,1,1,April,1998,1998
9886,15.0,Sakda,1998-04-18,Lead,1,1,April,1998,1998
2405,0.0,Boonsri,1998-05-09,Lead,1,1,May,1998,1998
2767,0.0,Boonsri,1998-05-09,Lead,1,1,May,1998,1998
5228,0.0,Chai,1998-05-20,Lead,1,1,May,1998,1998
5712,0.0,Chai,1998-05-20,Lead,1,1,May,1998,1998
6190,0.0,Chai,1998-05-20,Lead,1,2,May,1998,1998
8475,0.0,Kannika,1998-05-26,Lead,1,2,May,1998,1998
8956,0.0,Kannika,1998-05-26,Lead,1,2,May,1998,1998
9439,0.0,Kannika,1998-05-26,Lead,1,2,May,1998,1998
2444,1.0,Boonsri,1998-06-06,Lead,1,2,June,1998,1998
2806,4.0,Boonsri,1998-06-06,Lead,1,2,June,1998,1998
4869,34.0,Kohsoom,1998-06-27,Lead,1,2,June,1998,1998
5268,20.0,Chai,1998-06-28,Lead,1,2,June,1998,1998
5752,11.0,Chai,1998-06-28,Lead,1,2,June,1998,1998
6230,1.0,Chai,1998-06-28,Lead,1,2,June,1998,1998
6552,10.0,Somchair,1998-06-29,Lead,1,2,June,1998,1998
8515,10.0,Kannika,1998-06-29,Lead,1,2,June,1998,1998
8996,10.0,Kannika,1998-06-29,Lead,1,2,June,1998,1998
9479,10.0,Kannika,1998-06-29,Lead,1,2,June,1998,1998
9927,1.0,Sakda,1998-06-30,Lead,1,2,June,1998,1998
