Year,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,0.0,84.0,98.0,428.89,0.0,498.25,308.0,271.36,138.0,0.0
1999,0.0,560.0,336.54999999999995,995.55,0.0,945.42,441.21,893.02,408.52,0.0
2000,0.0,1209.2199999999998,371.48,1271.5499999999997,0.0,889.12,533.65,994.62,628.1899999999999,0.0
2001,0.0,565.68,82.88000000000001,435.9299999999999,0.0,352.7,176.71,348.49000000000007,155.14,0.0
2002,0.0,416.26000000000005,52.42,465.13,0.0,203.23000000000005,107.95,180.72000000000006,50.53,0.0
2003,0.0,252.98499999999999,79.789,373.43799999999993,0.0,259.693,293.479,175.949,76.086,0.0
2004,0.0,249.69700000000003,52.028999999999996,345.41200000000003,0.0,95.07099999999998,50.106,135.572,54.489000000000004,0.0
2005,0.0,343.9109990000001,162.95099799999997,581.392001,0.0,141.865,83.536,326.77399700000007,128.062998,0.0
2006,0.0,617.0779999999999,186.428,1022.0629999999996,0.0,354.7459999999999,141.29,337.99299999999994,191.647,0.0
2007,0.0,257.511,71.70599999999999,284.1990000000001,0.0,150.03999999999996,56.58099999999999,152.61500000000004,80.521,0.0
2008,0.0,0.0,23.900000000000002,60.6,0.0,45.720000000000006,0.0,47.199999999999996,33.300000000000004,0.0
2009,6.300000000000001,0.0,17.400000000000002,47.90299999999999,197.0,55.0,0.0,64.6,22.45,0.0
2010,11.500000000000002,112.2897,24.400000000000002,59.35,16.41,55.46999999999999,55.8,59.599999999999994,28.7,14.85
2011,18.1,221.50660000000002,20.929999999999996,96.69999999999999,93.19,68.6,38.723,73.60000000000001,26.1,0.0
2012,10.4,23.43,5.4,12.4,20.86,17.0,43.78999999999999,16.400000000000002,4.4,0.0
2013,14.7,30.777,0.0,12.7,27.22,0.0,23.140000000000004,0.0,0.0,0.0
2014,0.0,63.057999999999986,7.9,19.2,8.45,52.650999999999996,5.83,37.4,11.299999999999999,0.0
2015,4.0,0.0,0.0,0.0,15.31,60.60000000000001,0.0,46.08,0.0,0.0
2016,0.0,0.0,72.7135,84.62039999999998,0.0,60.02,0.0,56.88999999999999,78.5325,0.0
