,index,measure
0,Water temperature,5031
1,Nitrites,4791
2,Ammonium,4790
3,Nitrates,4786
4,Orthophosphate-phosphorus,4782
5,Total phosphorus,4600
6,Dissolved oxygen,4531
7,Biochemical Oxygen,4488
8,Manganese,4039
9,Chlorides,3961
10,Chemical Oxygen Demand (Mn),3890
11,Magnesium,3796
12,Calcium,3765
13,Chemical Oxygen Demand (Cr),3718
14,Sulphates,3253
15,Chromium,3015
16,Lead,3006
17,Copper,3002
18,Zinc,2982
19,Cadmium,2963
20,Bicarbonates,2826
21,Total dissolved salts,2789
22,Iron,2710
23,gamma-Hexachlorocyclohexane,2580
24,Total nitrogen,2553
25,Nickel,2442
26,Anionic active surfactants,2220
27,"p,p-DDT",2209
28,Oxygen saturation,2177
29,Sodium,2171
30,Potassium,2142
31,Atrazine,2137
32,Mercury,1764
33,Total hardness,1672
34,Silica (SiO2),1668
35,Total coliforms,1615
36,Fecal coliforms,1490
37,Fecal streptococci ,1301
38,Macrozoobenthos,1273
39,Petroleum hydrocarbons,1185
40,Arsenic,1004
41,Endrin,710
42,Aldrin,692
43,"p,p-DDE",661
44,beta-Hexaxchlorocyclohexane,639
45,"p,p-DDD",632
46,alpha-Hexachlorocyclohexane,603
47,Dieldrin,597
48,Heptachlor,589
49,Endosulfan (alpha),566
50,Dissolved silicates,564
51,Alachlor,528
52,Endosulfan (beta),528
53,Metolachlor,522
54,Total dissolved phosphorus,521
55,AOX,492
56,Heptachloroepoxide,491
57,AGOC-3A,474
58,Methylosmoline,474
59,Tetrachloromethane,474
60,Chlorodinine,474
61,Simazine,441
62,Total organic carbon,418
63,Sulfides,389
64,Cyanides,386
65,Total extractable matter,156
66,Aluminium,126
67,Barium,120
68,Cesium,120
69,Organic nitrogen,110
70,Benzo(a)pyrene,98
71,Benzo(b)fluoranthene,98
72,Fluoranthene,98
73,PCB 180,98
74,Benzo(k)fluoranthene,98
75,PCB 138,98
76,PCB 101,98
77,PCB 153,98
78,Naphthalene,90
79,Hexachlorobenzene,90
80,Phenanthrene,90
81,Anthracene,90
82,Benzo(a)anthracene,90
83,Isodrin,89
84,Pentachlorobenzene,88
85,Pyrene,76
86,"1,2,3-Trichlorobenzene",76
87,Chrysene,76
88,Acenaphthene,76
89,"1,2,4-Trichlorobenzene",76
90,Acenaphthylene,76
91,Selenium,75
92,Inorganic nitrogen,64
93,Carbonates,36
94,"Benzo(g,h,i)perylene",22
95,"Indeno(1,2,3-c,d)pyrene",22
96,Dissolved organic carbon,20
97,Methoxychlor,16
98,Fluorene,15
99,Boron,13
100,Berilium,13
101,Trifluralin,12
102,PCB 118,12
103,PCB 28,8
104,PCB 52,8
105,PAHs,7
