Index,Chemical,Count,
Jan-98,Chemical Oxygen Demand (Cr),7,
Jan-98,Manganese,7,
Jan-98,Ammonium,7,
Jan-98,Dissolved oxygen,7,
Jan-98,Cesium,7,
Jan-98,Zinc,7,
Jan-98,Nickel,7,
Jan-98,Macrozoobenthos,7,
Jan-98,Arsenic,7,
Jan-98,Sulphates,7,
Jan-98,Copper,7,
Jan-98,Iron,7,
Jan-98,Orthophosphate-phosphorus,7,
Jan-98,Mercury,7,
Jan-98,Total phosphorus,7,
Jan-98,Nitrates,7,
Jan-98,Chromium,7,
Jan-98,Potassium,7,
Jan-98,Total coliforms,7,
Jan-98,Water temperature,7,
Jan-98,Biochemical Oxygen,7,
Jan-98,Nitrites,7,
Jan-98,Atrazine,7,
Jan-98,Calcium,7,
Jan-98,AOX,7,
Jan-98,Chemical Oxygen Demand (Mn),7,
Jan-98,Sodium,7,
Jan-98,Magnesium,7,
Jan-98,Lead,7,
Jan-98,Cadmium,7,
Jan-98,Chlorides,7,
Jan-98,Fecal coliforms,7,
Feb-98,Chromium,7,
Feb-98,Water temperature,7,
Feb-98,Biochemical Oxygen,7,
Feb-98,Zinc,7,
Feb-98,Nitrites,7,
Feb-98,Iron,7,
Feb-98,Arsenic,7,
Feb-98,Magnesium,7,
Feb-98,Potassium,7,
Feb-98,Nitrates,7,
Feb-98,Calcium,7,
Feb-98,AOX,7,
Feb-98,Total phosphorus,7,
Feb-98,Manganese,7,
Feb-98,Ammonium,7,
Feb-98,Total coliforms,7,
Feb-98,Macrozoobenthos,7,
Feb-98,Orthophosphate-phosphorus,7,
Feb-98,Chemical Oxygen Demand (Mn),7,
Feb-98,Cesium,7,
Feb-98,Nickel,7,
Feb-98,Sulphates,7,
Feb-98,Fecal coliforms,7,
Feb-98,Chemical Oxygen Demand (Cr),7,
Feb-98,Dissolved oxygen,7,
Feb-98,Chlorides,7,
Feb-98,Cadmium,7,
Feb-98,Copper,7,
Feb-98,Atrazine,7,
Feb-98,Lead,7,
Feb-98,Sodium,7,
Feb-98,Mercury,7,
